ID,WIDTH,HEIGHT,PROFIT
0,997,1190,413
1,794,1010,167
2,923,1456,612
3,1794,992,222
4,1775,1561,660
5,1633,1397,151
6,1541,826,443
7,1557,1602,689
8,1627,1794,258
9,1237,1319,445
10,1147,723,162
11,661,1535,253
12,1105,1906,520
13,1764,799,208
14,1811,1804,264
15,1688,1455,511
16,1936,855,426
17,877,1538,390
18,1202,975,433
19,1005,864,413
20,1108,999,231
21,1942,1762,549
22,1194,1802,661
23,1557,750,386
24,627,1704,291
25,1675,2084,542
26,1787,709,548
27,715,933,579
28,1589,1610,596
29,992,857,230
30,1529,1365,527
31,1668,1541,600
32,1142,1138,594
33,1526,1146,662
34,847,1188,669
35,796,2083,704
36,818,722,206
37,940,1233,467
38,1801,1996,242
39,655,1998,708
40,1751,1358,586
41,1676,1466,576
42,1053,1299,408
43,767,1729,180
44,1083,2095,488
