ID,WIDTH,HEIGHT,PROFIT
0,1232,1932,1764
1,3214,2014,1294
2,2876,1876,2756
3,986,2986,1186
4,1765,1765,1866
5,1234,934,1296
6,3398,1008,1008
7,4351,2351,1357
8,2345,1345,1365
9,2986,2099,1007
10,3004,1007,2434
11,1276,845,1933
12,1732,1032,880
13,2214,2004,2874
14,2876,1879,1579
15,1886,1786,997
16,585,995,2787
17,1034,1034,1706
18,3498,3498,1938
19,5751,1051,2051
20,1345,1545,845
21,3086,2086,1092
22,1983,1583,2121
23,3214,1214,1214
24,2071,1071,1904
25,4886,1806,1006
26,785,885,1088
27,2870,1877,3608
28,1198,2100,999
29,2781,2757,1351
30,981,3781,1581
31,2532,2434,1116
32,1917,880,2455
33,1599,2874,888
34,1116,1579,1702
35,2455,997,2151
36,888,3787,995
37,3702,1706,1276
38,3151,1938,1431
39,995,2051,1763
