ID,WIDTH,HEIGHT
0,436,1490
1,232,1320
2,236,932
3,822,638
4,1004,1092
5,268,1222
6,632,894
7,1110,346
8,598,532
9,658,922
10,732,1830
11,822,1740
12,932,1106
13,598,732
14,568,1322
15,1792,1006
16,1248,746
17,932,892
18,562,1032
19,722,1722
20,1526,1446
21,1858,2646
22,1722,466
23,928,1672
24,2028,932
25,1028,1638
26,756,748
27,926,916
28,2006,562
29,1029,1892
30,1376,1932
31,726,1750
32,2098,946
33,1238,1206
34,1026,768
35,1736,932
36,996,2532
37,1966,2422
38,2828,1944
39,1536,1788
40,436,732
41,732,822
42,636,932
43,822,598
44,1004,568
45,468,792
46,932,648
47,2110,935
48,598,562
49,658,722
50,922,3722
51,1490,1830
52,1320,1740
53,932,2100
54,638,732
55,1092,1324
56,1222,2406
57,894,748
58,546,892
59,532,2132
60,452,648
61,724,1266
62,922,674
63,824,632
64,724,938
65,754,448
66,922,316
67,2006,894
68,578,1932
69,726,1750
70,1976,948
71,1238,1208
72,1220,768
73,1736,932
74,992,2532
75,560,2420
76,720,1944
77,1536,788
78,646,1232
79,1026,898
80,234,248
81,542,126
82,236,542
83,128,124
84,1024,2788
85,9098,8726
86,5468,3524
87,1262,4528
88,2354,1298
89,1696,2546
90,2546,5004
91,586,894
92,566,896
93,564,1022
94,1254,2012
95,2014,1254
96,1256,1298
97,2350,2366
98,2504,2506
99,1296,2366
