ID,WIDTH,HEIGHT,PROFIT
0,436,1490,129928
1,232,1320,70435
2,236,932,54988
3,822,638,52444
4,1004,1092,131564
5,268,1222,49124
6,632,894,79101
7,1110,346,76812
8,598,532,95441
9,658,922,145602
10,732,1830,267912
11,822,1740,200239
12,932,1106,123695
13,598,732,52528
14,568,1322,97616
15,1792,1006,270413
16,1248,746,148961
17,932,892,141328
18,562,1032,57998
19,722,1722,310821
20,1526,1446,330989
21,1858,2646,1229067
22,1722,466,288883
23,928,1672,387904
24,2028,932,378019
25,1028,1638,387289
26,756,748,209231
27,926,916,212054
28,2006,562,225474
29,1029,1892,292030
30,1376,1932,372180
31,726,1750,254100
32,2098,946,277859
33,1238,1206,194094
34,1026,768,118195
35,1736,932,226513
36,996,2532,378281
37,1966,2422,952330
38,2828,1944,769668
39,1536,1788,302100
40,436,732,38298
41,732,822,78222
42,636,932,82985
43,822,598,73733
44,1004,568,85541
45,468,792,44479
46,932,648,78512
47,2110,935,493212
48,598,562,67215
49,658,722,95015
50,922,3722,411802
51,1490,1830,409005
52,1320,1740,298584
53,932,2100,274008
54,638,732,116754
55,1092,1324,202413
56,1222,2406,352816
57,894,748,86933
58,546,892,77925
59,532,2132,136107
60,452,648,58579
61,724,1266,137488
62,922,674,99428
63,824,632,93738
64,724,938,129031
65,754,448,67558
66,922,316,67011
67,2006,894,448341
68,578,1932,167504
69,726,1750,177870
70,1976,948,224790
71,1238,1208,194416
72,1220,768,121805
73,1736,932,323590
74,992,2532,351644
75,560,2420,203280
76,720,1944,265939
77,1536,788,242074
78,646,1232,143257
79,1026,898,202697
80,234,248,13347
81,542,126,10244
82,236,542,31978
83,128,124,3968
84,1024,2788,570982
85,9098,8726,9526698
86,5468,3524,2890385
87,1262,4528,800007
88,2354,1298,488879
89,1696,2546,777243
90,2546,5004,2930242
91,586,894,172882
92,566,896,172426
93,564,1022,161394
94,1254,2012,706453
95,2014,1254,732411
96,1256,1298,423875
97,2350,2366,1334424
98,2504,2506,1443256
99,1296,2366,705257
