ID,WIDTH,HEIGHT,PROFIT
0,437,731,2223
1,732,822,1431
2,637,932,3876
3,822,598,1154
4,1004,569,1675
5,469,791,1342
6,932,648,2998
7,2110,931,2125
8,598,562,1564
9,659,721,1786
10,921,3721,3002
11,1490,1830,1761
12,1320,1740,931
13,932,2100,2239
14,639,732,891
15,1093,1321,1453
16,1221,2407,932
17,893,747,1209
18,547,891,671
19,532,2131,1763
20,451,647,1232
21,723,1267,1214
22,921,673,876
23,823,632,986
24,724,939,1765
25,754,449,1234
26,921,316,398
27,2007,563,4351
28,1022,893,845
29,579,1932,2986
30,727,1750,1004
31,1975,947,1732
32,1239,1207,1214
33,1221,769,876
34,1737,932,1886
35,991,2532,585
36,561,2421,1034
37,721,1945,1498
38,1537,789,1751
39,647,1231,1345
40,1232,1932,1764
41,3214,2014,1294
42,2876,1876,2756
43,986,2986,1186
44,1765,1765,1866
45,1234,934,1296
46,3398,1008,1008
47,4351,2351,1357
48,2345,1345,1365
49,2986,2099,1007
50,3004,1007,2434
51,1276,845,1933
52,1732,1032,880
53,2214,2004,2874
54,2876,1879,1579
55,1886,1786,997
56,585,995,2787
57,1034,1034,1706
58,3498,3498,1938
59,5751,1051,2051
60,1345,1545,845
61,3086,2086,1092
62,1983,1583,2121
63,3214,1214,1214
64,2071,1071,1904
65,4886,1806,1006
66,785,885,1088
67,2870,1877,3608
68,1198,2100,999
69,2781,2757,1351
70,981,3781,1581
71,2532,2434,1116
72,1917,880,2455
73,1599,2874,888
74,1116,1579,1702
75,2455,997,2151
76,888,3787,995
77,3702,1706,1276
78,3151,1938,1431
79,995,2051,1763
