ID,WIDTH,HEIGHT,PROFIT,COPIES
0,301,68,12281,5
1,166,102,11006,6
2,212,26,1709,1
3,120,40,1921,3
4,71,105,2908,3
5,58,73,1821,4
6,296,94,8348,8
7,128,48,4056,5
8,177,155,13444,3
9,88,127,6147,8
10,60,86,2219,9
11,114,147,4693,6
12,245,23,2593,6
13,180,87,10649,2
14,46,63,928,3
15,129,97,6632,4
16,214,55,8239,7
17,184,66,8016,6
18,200,52,4264,1
19,294,157,17079,1
20,108,139,7356,8
21,173,99,10791,6
22,163,140,13008,7
23,42,81,2076,4
24,63,116,4093,3
25,81,79,2176,4
26,200,95,12541,3
27,220,57,7399,8
28,324,100,12961,5
29,299,42,5024,2
30,296,68,13285,2
31,326,128,19195,4
32,196,36,2329,1
33,245,61,8370,1
34,190,142,17537,5
35,271,79,7708,6
36,220,125,17051,6
37,248,92,7530,5
38,185,117,14503,9
39,56,42,1623,3
40,297,49,9751,7
41,208,143,15765,8
42,158,92,3780,9
43,291,115,9036,6
44,71,88,2750,5
45,214,101,9727,5
46,189,32,3327,7
47,187,59,3862,7
48,139,42,2744,6
49,288,69,6956,2
50,299,104,7774,5
51,223,144,22800,6
52,323,80,11628,7
53,133,57,4170,4
54,197,119,7502,6
55,137,78,7801,4
56,300,57,5472,1
57,43,67,1383,8
58,194,120,10244,5
59,130,114,6077,3
60,220,99,6317,2
61,104,192,14377,3
62,123,101,6957,7
63,56,298,11515,2
64,106,220,10494,4
65,32,189,3811,5
66,100,336,9744,6
67,44,211,3714,4
68,82,359,8243,8
69,28,190,1916,3
70,143,149,8310,5
71,29,295,2738,8
72,88,66,1801,8
73,84,329,10226,5
74,102,294,19193,6
75,52,349,8349,1
76,130,185,10101,7
77,35,362,4562,2
78,79,231,7483,8
79,122,55,2550,1
80,100,208,6449,3
81,75,184,5658,7
82,70,255,11603,5
83,116,136,4576,2
84,35,76,1570,2
85,142,355,24701,4
86,101,89,4315,9
87,39,313,6958,8
88,19,65,359,9
89,62,49,1550,9
90,122,46,1516,9
91,45,148,2198,6
92,61,339,9926,5
93,68,148,4630,5
94,20,272,3536,7
95,72,207,7751,6
96,119,192,6398,9
97,58,230,4936,4
98,142,302,27446,3
99,110,333,16118,3
100,112,171,9193,7
101,118,52,2762,9
102,48,221,7002,1
103,90,170,5203,9
104,63,353,11565,1
105,31,78,1524,2
106,37,227,5124,7
107,31,326,4649,5
108,115,222,16850,5
109,51,66,2020,5
