ID,WIDTH,HEIGHT
0,66,25
1,14,30
2,18,14
3,43,34
4,59,30
5,10,16
6,8,33
7,22,47
8,18,16
9,26,13
10,24,17
11,26,4
12,7,28
13,26,14
14,30,51
15,39,25
16,7,3
17,19,9
18,25,6
19,8,14
20,18,78
21,14,17
22,62,12
23,15,64
24,16,5
25,46,13
26,27,26
27,12,63
28,30,8
29,36,91
30,23,31
31,8,13
32,22,9
33,9,50
34,14,4
35,8,16
36,22,12
37,57,37
38,7,6
39,12,36
40,11,29
41,30,56
42,50,62
43,61,13
44,4,7
45,7,33
46,16,26
47,12,46
48,21,27
49,28,65
50,4,4
51,9,19
52,40,13
53,6,19
54,15,22
55,19,31
56,21,17
57,5,6
58,5,15
59,30,7
60,6,19
61,8,12
62,11,8
63,19,21
64,18,14
65,3,20
66,18,3
67,83,16
68,16,13
69,2,7
70,6,10
71,37,6
72,8,3
