ID,WIDTH,HEIGHT
0,14,78
1,27,27
2,17,35
3,39,21
4,66,16
5,37,49
6,5,19
7,9,16
8,19,16
9,26,12
10,7,26
11,31,14
12,8,25
13,15,35
14,12,19
15,21,21
16,5,14
17,1,3
18,8,19
19,5,19
20,14,37
21,48,11
22,6,16
23,12,7
24,68,16
25,70,20
26,19,18
27,50,16
28,11,62
29,22,40
30,15,80
31,2,12
32,25,4
33,20,22
34,12,44
35,29,37
36,18,8
37,7,16
38,11,32
39,36,6
40,8,34
41,9,29
42,20,8
43,10,20
44,11,11
45,15,40
46,17,76
47,10,2
48,30,74
49,2,9
50,9,15
51,10,22
52,12,47
53,12,6
54,25,7
55,4,18
56,2,5
57,7,18
58,13,2
59,19,4
60,12,12
61,1,2
62,10,13
63,37,11
64,20,10
65,5,22
66,36,7
67,6,1
68,9,16
69,12,18
70,7,32
71,17,16
72,17,76
73,23,24
74,14,15
75,22,18
76,3,9
77,6,2
78,2,13
79,10,8
80,5,25
81,18,7
82,19,3
83,2,1
84,3,4
85,5,8
86,105,32
87,7,40
88,1,4
89,1,3
90,4,1
91,7,3
92,19,9
93,71,35
94,101,19
95,4,8
96,11,11
