ID,WIDTH,HEIGHT
0,52,34
1,31,14
2,29,7
3,16,79
4,7,48
5,7,24
6,21,12
7,22,37
8,15,13
9,11,7
10,4,15
11,14,10
12,3,6
13,3,10
14,15,26
15,5,24
16,10,35
17,42,22
18,7,5
19,7,19
20,1,6
21,2,4
22,11,14
23,5,2
24,13,14
25,50,11
26,2,2
27,62,9
28,27,11
29,13,10
30,15,36
31,33,11
32,18,18
33,42,32
34,19,34
35,20,26
36,14,26
37,23,98
38,25,11
39,8,7
40,26,4
41,21,26
42,30,10
43,24,52
44,11,36
45,14,28
46,72,16
47,35,14
48,13,48
49,76,13
50,7,17
51,7,18
52,25,8
53,12,22
54,13,45
55,2,8
56,12,29
57,37,20
58,13,29
59,26,94
60,6,13
61,1,1
62,13,21
63,8,12
64,26,23
65,28,15
66,9,9
67,21,20
68,3,5
69,28,15
70,22,6
71,6,14
72,9,5
73,23,9
74,7,14
75,18,17
76,6,9
77,3,16
78,42,26
79,9,26
80,60,14
81,5,12
82,18,41
83,12,7
84,5,34
85,2,3
86,20,31
87,37,12
88,23,19
89,20,29
90,14,28
91,28,7
92,46,7
93,97,21
94,10,2
95,15,11
96,48,9
