ID,WIDTH,HEIGHT
0,10,48
1,37,8
2,32,16
3,8,37
4,23,4
5,43,16
6,20,7
7,3,8
8,24,19
9,5,33
10,12,25
11,6,30
12,18,6
13,2,1
14,8,27
15,29,8
16,5,5
17,7,15
18,12,3
19,4,4
20,61,19
21,8,24
22,8,24
23,8,16
24,16,4
25,3,8
26,10,3
27,2,1
28,6,2
29,40,9
30,13,2
31,2,5
32,1,4
33,12,6
34,1,3
35,4,4
36,3,3
37,61,18
38,5,12
39,1,6
40,6,5
41,5,5
42,6,8
43,2,12
44,3,1
45,3,13
46,11,13
47,20,13
48,49,19
49,4,12
50,13,10
51,6,20
52,2,4
53,14,4
54,2,6
55,3,20
56,11,10
57,7,8
58,63,14
59,5,1
60,1,6
61,11,2
62,4,5
63,10,22
64,30,6
65,4,6
66,1,5
67,8,6
68,3,3
69,7,3
70,4,2
71,3,8
72,2,1
73,25,12
74,60,11
75,15,6
76,4,21
77,7,4
78,4,1
79,1,3
80,3,13
81,8,10
82,28,16
83,11,69
84,21,62
85,18,50
86,12,71
87,3,1
88,57,11
89,28,10
90,21,7
91,44,13
92,60,9
93,29,21
94,5,30
95,22,4
96,26,8
97,12,6
98,66,13
99,8,2
100,3,1
101,1,5
102,2,10
103,1,4
104,34,9
105,2,6
106,21,23
107,8,9
108,4,26
109,24,18
110,17,14
111,20,4
112,21,41
113,12,3
114,6,9
115,10,15
116,2,6
117,12,10
118,8,32
119,13,14
120,14,74
121,4,21
122,7,3
123,1,6
124,6,6
125,1,3
126,14,14
127,15,18
128,2,3
129,11,8
130,13,35
131,6,6
132,15,9
133,11,30
134,10,27
135,10,28
136,8,7
137,13,47
138,3,9
139,3,3
140,15,27
141,18,6
142,7,21
143,12,6
144,12,8
145,2,4
146,16,53
147,17,4
148,13,52
149,8,15
150,7,15
151,5,34
152,11,47
153,26,5
154,30,11
155,3,15
156,14,8
157,4,25
158,6,1
159,8,6
160,3,4
161,5,12
162,19,37
163,14,19
164,6,7
165,8,11
166,1,2
167,2,5
168,16,31
169,14,8
170,9,3
171,20,45
172,8,30
173,3,15
174,8,3
175,9,4
176,13,12
177,20,9
178,4,11
179,7,19
180,25,31
181,7,15
182,14,5
183,6,2
184,10,15
185,10,28
186,10,3
187,22,9
188,2,5
189,9,4
190,17,4
191,20,9
192,66,15
193,42,13
194,14,12
195,3,5
196,23,7
