ID,WIDTH,HEIGHT
0,17,57
1,21,19
2,36,8
3,24,9
4,5,24
5,20,20
6,35,19
7,42,15
8,11,11
9,25,26
10,10,31
11,14,19
12,2,4
13,22,12
14,18,4
15,32,15
16,37,13
17,3,8
18,15,13
19,10,4
20,10,8
21,15,4
22,25,5
23,39,12
24,11,8
25,16,8
26,6,22
27,40,10
28,4,19
29,6,14
30,13,5
31,11,2
32,15,5
33,12,42
34,8,22
35,3,3
36,5,9
37,8,18
38,7,6
39,11,11
40,18,29
41,42,12
42,6,25
43,10,14
44,19,15
45,21,9
46,2,13
47,5,5
48,11,9
49,16,8
50,25,6
51,3,10
52,11,7
53,28,30
54,16,11
55,30,10
56,6,16
57,31,8
58,7,4
59,6,13
60,15,47
61,11,18
62,9,3
63,2,10
64,5,21
65,2,9
66,12,7
67,53,17
68,6,38
69,24,6
70,32,13
71,8,12
72,8,17
73,22,22
74,9,20
75,14,18
76,64,23
77,14,37
78,8,10
79,4,10
80,18,4
81,18,102
82,5,6
83,13,8
84,2,9
85,2,11
86,4,5
87,3,7
88,5,2
89,9,2
90,12,2
91,2,11
92,27,5
93,26,10
94,15,6
95,6,5
96,1,6
97,1,2
98,3,20
99,27,27
100,3,4
101,1,1
102,5,4
103,16,3
104,73,15
105,11,27
106,4,15
107,7,24
108,6,15
109,6,10
110,16,11
111,10,9
112,5,8
113,3,1
114,2,12
115,13,11
116,1,5
117,5,16
118,4,8
119,10,2
120,2,9
121,5,6
122,5,15
123,17,7
124,12,16
125,43,7
126,18,12
127,2,13
128,2,9
129,7,11
130,6,1
131,3,5
132,2,8
133,4,4
134,17,8
135,17,4
136,3,11
137,6,41
138,18,58
139,31,9
140,12,16
141,9,4
142,7,4
143,8,18
144,9,7
145,8,2
146,4,18
147,5,5
148,24,7
149,13,2
150,6,4
151,20,16
152,7,17
153,4,18
154,8,14
155,5,2
156,43,7
157,3,6
158,2,2
159,11,12
160,12,11
161,26,4
162,22,32
163,12,43
164,16,13
165,34,13
166,14,52
167,3,8
168,3,13
169,43,7
170,4,6
171,3,1
172,7,5
173,9,30
174,7,38
175,8,37
176,80,16
177,2,11
178,1,5
179,4,6
180,12,33
181,15,21
182,57,10
183,8,13
184,14,25
185,8,19
186,47,18
187,10,3
188,15,7
189,21,5
190,18,15
191,21,8
192,5,2
193,16,11
194,20,9
195,23,7
196,36,6
