ID,WIDTH,HEIGHT
0,36,24
1,26,4
2,14,3
3,31,26
4,23,83
5,52,10
6,18,37
7,6,1
8,8,11
9,32,10
10,9,38
11,43,27
12,4,10
13,36,103
14,23,29
15,17,35
16,18,100
17,13,75
18,61,11
19,7,35
20,32,23
21,11,4
22,20,7
23,9,9
24,2,3
25,14,64
26,9,6
27,22,6
28,26,58
29,10,10
30,11,17
31,10,35
32,6,8
33,36,21
34,4,23
35,7,18
36,4,22
37,2,13
38,30,18
39,38,9
40,17,5
41,106,25
42,14,83
43,62,9
44,88,26
45,8,35
46,90,30
47,60,21
48,28,9
49,5,17
50,28,22
51,57,11
52,36,12
53,30,11
54,11,9
55,16,28
56,23,4
57,20,7
58,58,11
59,5,24
60,6,19
61,17,10
62,6,3
63,17,12
64,41,9
65,26,7
66,10,3
67,48,16
68,53,13
69,8,3
70,33,13
71,25,10
72,22,5
