ID,WIDTH,HEIGHT
0,112,22
1,18,47
2,61,25
3,9,38
4,41,8
5,50,12
6,21,25
7,26,57
8,35,13
9,35,33
10,6,4
11,56,29
12,12,13
13,32,9
14,39,16
15,10,4
16,22,35
17,22,31
18,24,94
19,13,11
20,29,8
21,64,19
22,5,3
23,24,52
24,18,49
25,34,23
26,52,43
27,5,7
28,12,2
29,31,5
30,8,5
31,4,9
32,21,6
33,10,41
34,13,4
35,38,35
36,29,37
37,5,20
38,14,34
39,8,38
40,20,28
41,57,17
42,25,14
43,23,72
44,51,17
45,60,28
46,2,10
47,8,17
48,10,36
49,19,25
50,19,10
51,19,41
52,32,11
53,10,39
54,6,6
55,7,2
56,6,33
57,5,32
58,3,19
59,4,4
60,3,13
61,24,21
62,68,11
63,10,9
64,24,10
65,44,19
66,26,7
67,6,11
68,13,13
69,2,11
70,24,4
71,48,9
72,30,7
