ID,WIDTH,HEIGHT
0,13,9
1,22,7
2,22,64
3,11,12
4,35,11
5,36,14
6,21,55
7,18,116
8,22,56
9,10,2
10,12,27
11,23,25
12,5,1
13,30,42
14,16,41
15,16,68
16,7,20
17,13,6
18,4,14
19,9,35
20,27,94
21,8,46
22,11,21
23,7,11
24,31,20
25,8,2
26,4,18
27,4,25
28,41,27
29,10,60
30,12,75
31,29,16
32,35,7
33,12,7
34,7,11
35,4,24
36,47,12
37,6,20
38,34,102
39,23,49
40,8,11
41,4,4
42,11,7
43,14,10
44,6,5
45,27,8
46,4,5
47,2,10
48,5,21
49,14,6
50,33,7
51,18,5
52,18,15
53,5,9
54,28,5
55,20,21
56,13,4
57,15,7
58,18,3
59,28,15
60,56,9
61,14,4
62,4,25
63,56,19
64,16,14
65,13,56
66,13,34
67,50,24
68,7,33
69,7,21
70,7,2
71,2,4
72,7,22
73,5,3
74,2,2
75,4,1
76,65,17
77,11,12
78,13,10
79,37,29
80,6,1
81,55,15
82,8,5
83,3,15
84,24,35
85,14,11
86,12,8
87,6,22
88,2,10
89,8,3
90,4,11
91,22,8
92,19,21
93,36,12
94,5,12
95,110,16
96,47,9
