ID,WIDTH,HEIGHT
0,15,69
1,13,28
2,6,28
3,11,27
4,5,27
5,59,17
6,29,9
7,11,9
8,9,4
9,15,4
10,4,24
11,5,24
12,18,51
13,9,58
14,15,58
15,29,8
16,11,8
17,30,14
18,29,14
19,10,66
20,2,4
21,9,4
22,3,10
23,6,19
24,10,19
25,2,6
26,9,6
27,4,27
28,5,27
29,11,8
30,5,8
31,11,20
32,3,20
33,13,7
34,6,7
35,9,44
36,3,21
37,9,21
38,9,35
39,12,38
40,7,38
41,10,53
42,9,3
43,10,3
44,7,15
45,9,15
46,6,11
47,10,11
48,9,31
49,10,31
50,4,21
51,10,21
52,5,8
53,11,8
54,7,19
55,9,19
56,9,11
57,18,11
58,3,14
59,9,14
60,5,28
61,11,28
62,16,24
63,8,24
64,6,31
65,4,3
66,17,3
67,4,28
68,9,13
69,8,13
70,12,9
71,9,9
72,4,15
73,10,15
74,15,71
75,9,37
76,26,37
77,12,15
78,7,15
79,9,26
80,9,9
81,5,9
82,7,14
83,9,15
84,8,15
85,10,18
86,30,18
87,9,5
88,5,5
89,19,17
90,10,17
91,16,15
92,8,15
93,14,12
94,7,12
95,6,8
96,21,8
97,24,10
98,17,10
99,50,8
100,8,8
101,14,16
102,3,5
103,14,5
104,9,13
105,2,13
106,7,12
107,2,12
108,9,34
109,11,21
110,15,21
111,3,11
112,14,11
113,21,8
114,29,8
115,8,21
116,24,19
117,12,17
118,5,17
119,7,4
120,2,4
121,9,3
122,2,3
123,11,10
124,10,10
125,29,13
126,14,9
127,17,9
128,11,9
129,9,9
130,6,6
131,25,6
132,20,14
133,4,7
134,7,7
135,15,13
136,11,3
137,10,3
138,12,2
139,5,2
140,41,10
141,58,10
142,6,8
143,25,8
144,4,6
145,7,6
146,37,7
147,13,7
148,60,11
149,15,11
150,11,20
151,18,9
152,9,9
153,28,5
154,9,5
155,28,13
156,9,13
157,21,36
158,10,26
159,6,26
160,13,53
161,18,9
162,9,9
163,60,9
164,15,9
165,27,19
166,33,14
167,4,14
168,75,17
169,11,17
170,33,5
171,4,5
172,10,10
173,6,10
174,62,10
175,24,10
176,12,12
177,19,12
178,17,7
179,5,3
180,11,3
181,5,4
182,11,4
183,21,17
184,16,17
185,17,8
186,12,2
187,4,2
188,12,6
189,4,6
190,62,13
191,24,13
192,12,3
193,19,3
194,15,4
195,16,4
196,33,8
197,15,4
198,16,4
