ID,WIDTH,HEIGHT
0,6,37
1,10,15
2,4,7
3,12,7
4,4,18
5,10,8
6,5,8
7,4,25
8,5,25
9,4,8
10,12,8
11,10,10
12,5,10
13,3,4
14,7,4
15,7,10
16,2,10
17,7,15
18,4,18
19,15,18
20,3,18
21,7,18
22,7,5
23,2,5
24,4,11
25,5,11
26,4,5
27,5,5
28,1,3
29,6,3
30,1,4
31,6,4
32,4,2
33,5,2
34,19,25
35,5,9
36,4,9
37,3,6
38,3,6
39,6,13
40,20,13
41,3,18
42,3,18
43,5,16
44,4,16
45,6,11
46,13,4
47,7,4
48,13,7
49,3,2
50,4,2
51,3,5
52,4,5
53,4,24
54,15,12
55,13,12
56,19,7
57,9,7
58,5,4
59,2,4
60,12,5
61,9,22
62,5,1
63,2,1
64,15,12
65,13,12
66,2,5
67,5,5
68,12,17
69,2,12
70,5,12
71,4,5
72,28,5
