ID,WIDTH,HEIGHT
0,6,9
1,5,5
2,5,9
3,9,2
4,3,2
5,7,9
6,6,1
7,6,1
8,6,5
9,5,1
10,9,2
11,6,1
12,2,6
13,3,3
14,6,4
15,4,2
16,7,2
17,5,5
18,8,4
19,1,4
20,4,2
21,8,7
22,9,6
23,6,5
24,7,7
25,9,5
26,4,2
27,9,8
28,5,1
29,8,7
30,1,4
31,2,2
32,2,6
33,2,6
34,6,7
35,7,9
36,7,3
37,8,4
38,9,7
39,2,2
40,4,2
41,6,2
42,9,2
43,4,3
44,2,2
45,1,7
46,7,8
47,1,5
48,4,8
49,5,5
50,7,3
51,6,1
52,9,9
53,5,6
54,7,7
55,3,9
56,8,2
57,5,1
58,5,8
59,7,1
60,7,5
61,9,8
62,8,3
63,4,5
64,1,6
65,1,7
66,7,2
67,2,1
68,7,1
69,4,7
70,8,4
71,9,6
72,3,5
73,1,2
74,2,9
75,3,4
76,8,3
77,9,3
78,3,2
79,3,8
80,8,8
81,8,6
82,1,2
83,2,4
84,5,2
85,9,6
86,5,9
87,5,7
88,9,9
89,8,8
90,2,4
91,3,2
92,9,7
93,7,1
94,6,8
95,7,8
96,2,7
97,4,6
98,9,9
99,1,7
