ID,WIDTH,HEIGHT
0,3,19
1,6,25
2,19,16
3,13,28
4,25,22
5,6,25
6,22,16
7,9,3
8,3,13
9,6,6
10,28,16
11,6,3
12,3,13
13,16,19
14,19,19
15,6,19
16,16,13
17,3,19
18,25,25
19,16,9
20,25,22
21,28,28
22,16,6
23,16,9
24,25,6
25,25,25
26,28,28
27,19,13
28,9,9
29,13,3
30,22,3
31,9,9
32,19,22
33,25,22
34,16,6
35,22,16
36,16,28
37,22,3
38,19,13
39,22,19
40,19,13
41,6,9
42,13,25
43,16,28
44,22,13
45,6,19
46,16,3
47,22,16
48,6,28
49,6,28
50,22,9
51,13,3
52,28,22
53,6,25
54,25,19
55,6,6
56,25,16
57,6,16
58,22,13
59,9,19
60,22,22
61,22,16
62,6,13
63,16,19
64,13,3
65,28,28
66,16,13
67,16,13
68,25,9
69,16,9
70,28,9
71,22,19
72,6,22
73,25,13
74,16,28
75,19,3
76,16,6
77,25,19
78,19,6
79,25,6
80,3,22
81,9,28
82,9,13
83,6,22
84,25,22
85,19,22
86,9,6
87,3,3
88,25,25
89,6,6
90,16,3
91,6,16
92,22,22
93,16,3
94,13,6
95,22,9
96,13,9
97,19,16
98,19,6
99,16,28
