ID,WIDTH,HEIGHT
0,22,28
1,6,12
2,6,28
3,16,28
4,3,19
5,3,12
6,28,9
7,9,22
8,12,6
9,19,19
10,16,16
11,19,19
12,25,25
13,19,22
14,19,12
15,6,22
16,16,28
17,9,6
18,19,22
19,19,12
20,16,3
21,22,19
22,19,22
23,25,6
24,19,25
25,28,19
26,22,3
27,22,28
28,9,19
29,9,6
30,25,22
31,6,9
32,3,3
33,19,25
34,16,16
35,12,9
36,16,16
37,6,9
38,22,9
39,25,28
40,25,22
41,9,28
42,6,3
43,25,16
44,19,28
45,19,9
46,3,16
47,9,9
48,28,16
49,19,6
50,16,12
51,16,25
52,16,12
53,22,16
54,19,12
55,3,22
56,3,19
57,25,16
58,22,16
59,12,25
60,16,12
61,28,19
62,6,12
63,6,22
64,28,19
65,3,9
66,3,19
67,6,25
68,25,19
69,22,25
70,3,6
71,22,19
72,6,3
73,6,19
74,12,9
75,12,19
76,25,25
77,16,19
78,25,28
79,6,19
80,12,9
81,6,25
82,3,12
83,19,9
84,16,9
85,9,3
86,25,6
87,9,25
88,28,25
89,22,19
90,12,25
91,9,25
92,9,9
93,16,28
94,3,3
95,16,12
96,3,9
97,28,9
98,6,6
99,3,3
