ID,WIDTH,HEIGHT
0,13,28
1,13,13
2,28,25
3,16,25
4,22,13
5,9,3
6,16,28
7,13,9
8,19,9
9,22,28
10,13,28
11,19,25
12,19,6
13,9,13
14,3,13
15,3,19
16,25,19
17,22,25
18,16,22
19,6,22
20,22,22
21,19,22
22,3,16
23,9,6
24,28,19
25,9,28
26,13,22
27,6,6
28,9,16
29,28,13
30,6,28
31,22,25
32,6,16
33,3,22
34,6,13
35,9,28
36,3,9
37,6,9
38,6,19
39,25,28
40,6,25
41,19,19
42,28,16
43,28,19
44,6,19
45,19,13
46,28,16
47,19,16
48,9,13
49,13,3
50,25,6
51,3,13
52,19,3
53,6,6
54,19,16
55,19,22
56,13,22
57,13,25
58,19,6
59,28,25
60,13,28
61,6,28
62,19,13
63,19,22
64,3,9
65,9,13
66,28,22
67,22,28
68,13,13
69,28,9
70,13,19
71,13,22
72,22,22
73,22,6
74,6,9
75,22,28
76,13,16
77,6,16
78,19,13
79,22,3
80,3,3
81,3,13
82,9,22
83,6,13
84,3,22
85,22,6
86,22,19
87,19,16
88,3,16
89,16,28
90,22,16
91,22,22
92,13,13
93,6,3
94,9,25
95,6,9
96,16,3
97,13,16
98,19,22
99,13,13
