ID,WIDTH,HEIGHT
0,22,10
1,19,3
2,29,29
3,16,19
4,22,22
5,10,29
6,25,6
7,16,3
8,16,25
9,22,3
10,22,16
11,29,25
12,25,10
13,13,16
14,3,19
15,3,22
16,22,6
17,6,3
18,22,3
19,13,22
20,25,13
21,29,19
22,10,16
23,3,6
24,6,29
25,10,13
26,25,10
27,29,10
28,10,6
29,10,25
30,25,25
31,25,19
32,3,6
33,6,13
34,16,6
35,29,19
36,16,29
37,16,22
38,29,29
39,25,25
40,6,13
41,10,6
42,29,22
43,22,3
44,19,25
45,22,25
46,6,22
47,13,19
48,29,29
49,3,22
50,16,3
51,10,13
52,6,29
53,16,10
54,22,29
55,6,3
56,22,10
57,19,25
58,25,10
59,16,29
60,25,19
61,10,25
62,13,13
63,3,19
64,13,6
65,10,29
66,6,29
67,6,25
68,29,16
69,6,19
70,19,19
71,13,3
72,25,6
73,10,10
74,22,19
75,29,19
76,25,13
77,25,22
78,6,16
79,3,3
80,22,13
81,29,16
82,22,3
83,19,3
84,22,29
85,16,22
86,10,25
87,19,19
88,10,25
89,16,22
90,13,3
91,16,19
92,13,13
93,3,10
94,19,25
95,13,29
96,13,16
97,25,13
98,22,10
99,19,16
100,19,3
101,13,10
102,29,25
103,29,19
104,19,3
105,13,10
106,16,3
107,25,10
108,25,29
109,19,6
110,10,19
111,25,10
112,10,22
113,25,10
114,6,16
115,29,19
116,3,19
117,10,6
118,6,10
119,16,29
120,3,3
121,13,10
122,16,16
123,13,29
124,19,10
125,16,13
126,29,16
127,25,25
128,25,19
129,25,10
130,29,10
131,29,22
132,6,22
133,16,6
134,3,3
135,16,25
136,6,3
137,6,25
138,25,25
139,19,10
140,25,29
141,25,10
142,16,3
143,3,3
144,13,22
145,13,6
146,10,6
147,22,6
148,3,16
149,13,25
