ID,WIDTH,HEIGHT,COPIES
0,915,439,129
1,722,498,182
2,882,399,181
3,884,355,154
4,873,344,169
5,868,339,102
6,676,422,171
7,776,332,147
8,765,336,170
9,764,332,114
10,536,418,141
11,464,476,147
12,831,231,193
13,927,202,146
14,810,225,117
15,529,339,140
16,542,324,134
17,529,306,198
18,659,242,195
19,348,447,191
20,722,208,141
21,913,156,127
22,327,403,164
23,542,217,182
24,745,157,141
25,363,301,195
26,940,112,122
27,604,173,157
28,804,110,122
29,913,94,161
30,593,132,151
31,603,125,111
32,169,385,185
33,390,138,175
34,666,77,168
35,367,107,168
36,472,72,128
37,408,83,168
38,154,219,102
39,208,142,131
