ID,WIDTH,HEIGHT,COPIES
0,984,438,11
1,914,432,12
2,797,444,24
3,814,430,10
4,802,362,10
5,934,297,7
6,762,334,18
7,549,450,19
8,988,246,17
9,833,265,5
10,654,336,22
11,428,489,10
12,681,278,19
13,996,166,9
14,965,162,6
15,438,327,9
16,442,319,22
17,829,159,5
18,230,494,10
19,242,455,11
20,542,187,2
21,560,179,3
22,219,439,20
23,234,400,23
24,369,253,20
25,194,479,5
26,834,107,17
27,385,221,16
28,837,101,8
29,927,89,12
30,214,365,19
31,475,163,25
32,160,447,6
33,511,137,11
34,908,76,13
35,649,100,17
36,371,152,4
37,187,236,5
38,178,193,2
39,377,77,4
