ID,WIDTH,HEIGHT,COPIES
0,938,494,5
1,987,465,14
2,881,486,22
3,915,425,25
4,733,472,118
5,642,470,151
6,790,375,18
7,850,331,5
8,759,349,16
9,577,455,114
10,874,298,11
11,696,344,139
12,921,249,2
13,481,456,10
14,449,483,3
15,780,268,12
16,957,188,18
17,352,430,144
18,544,272,23
19,533,264,118
20,750,185,200
21,307,451,13
22,317,425,25
23,934,120,10
24,315,354,19
25,736,140,25
26,839,120,100
27,441,216,125
28,245,349,21
29,627,125,10
30,561,121,20
31,261,248,19
32,152,414,184
33,581,103,108
34,181,324,114
35,289,196,167
36,221,203,177
37,239,176,15
38,442,87,115
39,287,90,106
