ID,WIDTH,HEIGHT,COPIES
0,935,471,185
1,777,460,174
2,857,383,121
3,971,321,161
4,643,393,161
5,724,347,154
6,740,330,146
7,722,329,181
8,823,279,125
9,544,414,149
10,544,405,101
11,502,419,152
12,851,247,110
13,884,230,189
14,742,272,136
15,597,324,189
16,957,199,200
17,813,234,198
18,581,301,128
19,746,226,177
20,819,202,178
21,434,358,112
22,424,355,159
23,590,235,126
24,620,222,186
25,614,222,144
26,604,215,154
27,591,214,196
28,369,326,175
29,732,164,137
30,375,307,192
31,885,129,130
32,213,498,143
33,542,175,185
34,981,87,189
35,717,117,135
36,207,375,173
37,949,81,178
38,733,104,111
39,165,412,110
40,155,412,135
41,808,78,123
42,254,193,157
43,619,79,102
44,191,253,194
45,390,113,194
46,230,170,124
47,492,72,164
48,149,227,194
49,207,134,176
