ID,WIDTH,HEIGHT,COPIES
0,977,336,5
1,706,463,4
2,725,425,11
3,973,297,19
4,894,316,23
5,661,398,16
6,757,344,2
7,819,309,19
8,899,278,13
9,948,261,12
10,733,332,20
11,458,485,1
12,817,267,23
13,954,221,13
14,577,346,25
15,412,446,25
16,477,354,1
17,303,500,18
18,445,324,18
19,720,186,7
20,923,131,23
21,349,346,23
22,457,260,3
23,230,499,11
24,306,367,13
25,288,387,8
26,318,350,3
27,625,173,18
28,595,180,20
29,854,123,22
30,470,219,12
31,668,149,13
32,802,121,21
33,889,100,24
34,226,375,25
35,212,392,9
36,170,476,16
37,468,163,13
38,372,201,6
39,718,103,15
40,482,149,14
41,177,343,15
42,211,212,14
43,187,210,19
44,161,234,19
45,203,172,22
46,194,174,10
47,173,194,14
48,161,190,14
49,221,113,3
