ID,WIDTH,HEIGHT,COPIES
0,912,473,22
1,971,431,103
2,925,433,9
3,857,409,140
4,706,496,100
5,980,342,9
6,634,493,7
7,914,340,150
8,822,353,143
9,877,327,7
10,861,327,126
11,677,394,11
12,774,340,5
13,960,262,103
14,745,332,177
15,502,467,155
16,492,462,20
17,464,433,1
18,862,227,126
19,536,349,175
20,763,245,181
21,479,373,8
22,832,210,124
23,901,185,17
24,796,208,197
25,387,424,148
26,514,293,152
27,765,196,115
28,508,290,150
29,615,216,22
30,566,216,191
31,369,303,124
32,303,357,143
33,215,493,175
34,541,192,193
35,203,479,7
36,708,137,147
37,313,281,106
38,368,224,163
39,250,285,11
40,819,84,135
41,176,381,186
42,378,176,16
43,539,114,11
44,189,286,161
45,216,209,183
46,199,225,16
47,144,277,167
48,220,177,196
49,162,219,15
