ID,WIDTH,HEIGHT
0,7123,5053
1,3029,12062
2,6847,8564
3,3630,1860
4,5782,2621
5,1058,3152
6,889,4138
7,5703,1870
8,3111,9573
9,3454,1342
10,5681,1959
11,833,699
12,5772,5580
13,2422,7004
14,1827,2839
15,19428,6036
16,3937,1365
17,10035,5914
18,10333,10311
19,1433,4300
20,479,1603
21,4703,1633
22,2556,7204
23,6937,4866
24,2862,4998
25,6976,9159
26,3747,2965
27,1672,5007
28,805,3818
29,8263,3559
30,2904,3717
31,11991,4453
32,3240,8416
33,3326,8324
34,15130,3799
35,4052,1756
36,1067,1591
37,595,1529
38,5425,2354
39,5703,2237
40,7910,1885
41,3192,7757
42,7546,4121
43,3158,10079
44,3856,11897
45,4815,2756
46,7030,1554
47,9986,5102
48,4817,4361
49,3665,3150
50,5781,13878
51,6638,7577
52,3409,4762
53,5935,1747
54,1890,663
55,6937,2471
56,8519,2589
57,4280,5717
58,646,456
59,1716,5440
60,908,3325
61,7457,3554
62,1469,5182
63,13998,4473
64,4280,15865
65,6081,7287
66,15130,12675
67,3630,2097
68,7118,1589
69,3997,3912
70,2390,931
71,2219,1990
72,2046,9573
73,3432,10912
74,1570,4425
75,224,699
76,6412,4825
77,2325,5307
78,2616,4605
79,1590,1390
80,3962,3003
81,10035,4592
82,7017,12601
83,15075,4300
84,1180,4352
85,3892,1041
86,2805,5598
87,3846,10376
88,1346,4998
89,3302,12137
90,3747,4077
91,2204,2874
92,6615,2261
93,6160,3833
94,8843,3717
95,6143,9351
96,3194,2605
97,5784,9334
98,1761,6137
99,5362,3121
100,403,1486
101,1569,5505
102,3942,3803
103,1102,1348
104,7910,2932
105,2742,3148
106,14170,6210
107,1247,3443
108,5888,7245
109,1543,6190
110,7030,1775
111,4474,5102
112,3082,8114
113,6665,2755
114,4552,13580
115,7632,10729
116,3709,7656
117,2660,935
118,3191,4014
119,6937,1468
120,10783,2160
121,4416,1526
122,874,1170
123,1656,1871
124,1177,3818
125,1688,701
126,2836,3288
127,2776,7323
128,7123,15706
129,3029,1909
130,8283,8564
131,3630,9584
132,1336,2621
133,1058,760
134,1501,4138
135,5703,17705
136,4211,9573
137,3454,14766
138,5681,2466
139,1435,699
140,5772,11003
141,2422,3942
142,8054,2839
143,2377,6036
144,3937,12665
145,10035,7016
146,10333,4831
147,1674,4300
148,6639,1603
149,4703,1687
150,2556,2982
151,6937,3705
152,9256,4998
153,3028,9159
154,3747,5659
155,1700,5007
156,1813,3818
157,2426,3559
158,1007,3717
159,11991,4898
160,4969,8416
161,3326,4718
162,15130,3085
163,1310,1756
164,6051,1591
165,6594,1529
166,737,2354
167,5703,2662
168,7910,1911
169,3694,7757
170,7546,6103
171,3158,808
172,2440,11897
173,4815,2000
174,7030,2609
175,3204,5102
176,4817,10784
177,6370,3150
178,5781,8187
179,6638,3152
180,3409,11411
181,5935,5879
182,1301,663
183,6937,2772
184,8519,2167
185,1308,5717
186,646,714
187,1716,1708
188,908,493
189,1544,3554
190,12606,5182
191,13998,2850
192,4280,4894
193,6081,6684
194,15130,15548
195,3630,1488
196,7118,2883
197,2134,3912
198,2390,1088
199,3484,1990
200,2024,9573
201,3432,5196
202,14465,4425
203,666,699
204,6412,11758
205,2325,5639
206,7265,4605
207,1590,4646
208,3962,11027
209,10035,3586
210,3316,12601
211,2331,4300
212,5938,4352
213,3892,2279
214,2805,4588
215,3091,10376
216,5838,4998
217,6702,12137
218,3747,778
219,1168,2874
220,6615,1557
221,4529,3833
222,4157,3717
223,5261,9351
224,3194,5811
225,5784,3708
226,13369,6137
227,5362,10152
228,6715,1486
229,5620,5505
230,2220,3803
231,4601,1348
232,7910,2845
233,4144,3148
234,14170,4014
235,1911,3443
236,5888,4652
237,3272,6190
238,7030,1506
239,5731,5102
240,3082,7031
241,3370,2755
242,4552,8485
243,6243,10729
244,3709,8517
245,2660,6691
246,3191,5509
247,6937,2154
248,10783,2596
249,4416,4191
250,2227,1170
251,1656,5277
252,866,3818
253,1688,2853
254,2836,1894
255,6621,7323
