ID,WIDTH,HEIGHT
0,37,13
1,16,5
2,27,16
3,21,13
4,27,5
5,31,4
6,25,16
7,40,4
8,27,10
9,21,8
10,39,37
11,31,29
12,15,1
13,40,21
14,36,28
15,8,6
16,33,17
17,19,13
18,15,12
19,9,2
20,38,10
21,34,15
22,25,1
23,37,24
24,17,6
25,35,5
26,19,17
27,33,8
28,21,12
29,38,6
30,40,26
31,18,17
32,25,4
33,40,21
34,24,19
35,28,3
36,40,40
37,14,12
38,35,7
39,35,21
40,30,11
41,38,33
42,40,15
43,28,12
44,38,22
45,31,21
46,33,4
47,21,5
48,16,6
49,24,15
50,17,10
51,38,14
52,37,27
53,19,12
54,35,5
55,16,12
56,14,12
57,40,4
58,40,18
59,29,11
