ID,WIDTH,HEIGHT,COPIES
0,87,8,1
1,75,9,1
2,21,10,1
3,63,12,1
4,42,13,1
5,89,13,1
6,94,13,1
7,26,14,1
8,68,14,1
9,88,14,1
10,92,14,1
11,17,15,1
12,42,15,1
13,90,15,1
14,97,17,1
15,29,18,1
16,36,18,1
17,58,18,1
18,65,18,1
19,52,19,1
20,76,20,1
21,16,21,1
22,39,21,1
23,49,21,1
24,101,21,1
25,15,23,1
26,36,23,1
27,42,23,1
28,61,23,1
29,81,23,1
30,97,23,1
31,32,24,1
32,86,24,1
33,87,24,1
34,88,24,1
35,40,25,1
36,46,25,1
37,55,25,1
38,61,25,1
39,82,25,1
40,90,25,1
41,85,27,1
42,55,28,1
43,85,28,1
44,94,28,1
45,38,29,1
46,79,29,1
47,33,30,1
48,79,30,1
49,36,31,1
50,56,31,1
51,62,32,1
52,81,32,1
53,30,33,1
54,49,33,1
55,57,33,1
56,49,34,1
57,99,34,1
58,40,35,1
59,98,35,1
