ID,WIDTH,HEIGHT
0,60,70
1,72,70
2,35,39
3,92,96
4,13,90
5,90,74
6,94,58
7,77,6
8,77,60
9,70,91
10,75,41
11,66,28
12,52,98
13,61,68
14,97,34
15,99,61
16,91,97
17,64,57
18,39,92
19,57,57
20,90,57
21,79,59
22,94,54
23,78,64
24,50,80
25,5,81
26,60,83
27,60,83
28,23,75
29,93,97
30,92,24
31,53,63
32,70,10
33,93,83
34,29,83
35,10,5
36,53,67
37,68,31
38,80,88
39,76,58
40,60,87
41,77,90
42,96,13
43,55,74
44,80,67
45,61,61
46,69,100
47,96,50
48,60,59
49,8,44
50,55,98
51,48,40
52,53,63
53,66,89
54,4,71
55,61,90
56,57,79
57,36,97
58,64,79
59,87,51
