ID,PROFIT,WIDTH,HEIGHT,COPIES
0,448,14,32,1
1,1575,45,35,3
2,437,23,19,3
3,1189,29,41,4
4,473,43,11,3
5,440,10,44,1
6,410,10,41,2
7,572,44,13,1
8,780,20,39,2
9,798,42,19,4
10,828,18,46,2
11,1333,43,31,3
12,756,28,27,3
13,924,42,22,3
14,533,41,13,4
15,828,36,23,4
16,1156,34,34,3
17,528,16,33,2
18,595,17,35,4
19,1224,36,34,2
20,868,31,28,1
21,1728,48,36,4
22,912,38,24,4
23,1204,43,28,1
24,1280,32,40,2
25,920,20,46,2
26,323,17,19,1
27,1920,40,48,4
28,799,47,17,4
29,220,11,20,3
30,882,21,42,4
31,1638,39,42,1
32,735,49,15,1
33,1824,48,38,2
34,1692,36,47,1
35,836,44,19,2
36,1610,35,46,3
37,216,12,18,4
38,176,11,16,3
39,196,14,14,4
40,231,11,21,2
41,143,11,13,4
42,1728,48,36,4
43,864,27,32,4
44,1620,36,45,2
45,1296,48,27,1
46,792,22,36,2
47,432,18,24,4
48,560,40,14,3
49,690,15,46,2
