ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2200,55,40,1
1,2448,48,51,1
2,1404,36,39,1
3,2450,49,50,1
4,2070,30,69,1
5,2064,43,48,1
6,1360,34,40,1
7,2880,45,64,1
8,1443,39,37,1
9,2448,51,48,1
10,2574,39,66,1
11,4896,68,72,1
12,1075,43,25,1
13,3696,56,66,1
14,2109,37,57,1
15,3705,57,65,1
16,2272,71,32,1
17,1860,31,60,1
18,1984,62,32,1
19,2499,49,51,1
20,3150,50,63,1
21,1740,30,58,1
22,2838,66,43,1
23,1372,49,28,1
24,2856,42,68,1
25,2508,44,57,1
26,896,32,28,1
27,2067,53,39,1
28,2436,58,42,1
29,1944,36,54,1
30,1825,73,25,1
31,2916,54,54,1
32,4970,70,71,1
33,4144,74,56,1
34,825,25,33,1
35,1215,45,27,1
36,1888,59,32,1
37,2948,44,67,1
38,2516,34,74,1
39,2145,55,39,1
