ID,WIDTH,HEIGHT
0,119,73
1,58,162
2,111,93
3,220,59
4,67,139
5,148,45
6,140,111
7,57,153
8,159,94
9,131,91
10,55,185
11,124,119
12,120,94
13,96,67
14,159,58
15,67,176
16,161,94
17,159,94
18,138,70
19,141,99
20,162,94
21,96,54
22,102,85
23,129,68
24,178,61
25,119,55
26,224,63
27,59,139
28,65,80
29,175,91
30,73,137
31,119,68
32,62,153
33,124,65
34,120,96
35,75,108
36,71,73
37,59,153
38,60,139
39,71,139
40,53,167
41,89,99
42,73,153
43,94,94
44,168,49
45,124,68
46,92,122
47,192,52
48,111,99
49,72,122
50,92,88
51,124,52
52,132,68
53,119,54
54,152,60
55,48,185
56,138,73
57,47,188
58,47,187
59,75,71
60,64,188
61,168,59
62,52,153
63,192,70
64,159,60
65,92,88
66,99,85
67,70,162
68,118,85
69,73,149
70,65,149
71,152,62
72,159,64
73,83,91
74,95,63
75,73,144
76,159,67
77,74,149
78,47,187
79,64,122
80,200,147
81,148,46
82,105,122
83,127,91
84,124,67
85,140,91
86,121,85
87,119,59
88,72,185
89,119,57
90,235,153
91,62,86
92,124,60
93,75,96
94,56,153
95,96,54
96,95,86
97,75,80
98,116,86
99,71,76
