ID,WIDTH,HEIGHT
0,272,40
1,200,274
2,56,103
3,270,274
4,271,224
5,75,62
6,264,2
7,258,147
8,191,176
9,255,190
10,272,112
11,76,198
12,62,274
13,191,138
14,200,212
15,264,10
16,142,12
17,200,2
18,273,185
19,255,127
20,5,18
21,5,137
22,264,135
23,264,34
24,274,221
25,264,53
26,76,76
27,191,209
28,39,62
29,98,1
30,189,143
31,3,1
32,144,103
33,75,62
34,5,119
35,154,98
36,271,170
37,274,173
38,119,1
39,83,153
40,2,62
41,37,98
42,130,12
43,272,15
44,264,174
45,44,1
46,15,147
47,189,10
48,196,93
49,196,181
