ID,WIDTH,HEIGHT
0,3,2
1,1,1
2,6,1
3,1,1
4,3,1
5,2,3
6,1,1
7,1,2
8,2,1
9,5,1
10,1,2
11,1,1
12,2,1
13,5,1
14,1,1
15,32,3
16,1,4
17,1,1
18,6,2
19,1,13
20,1,9
21,1,9
22,1,9
23,1,7
24,3,1
25,1,1
26,41,1
27,1,1
28,5,2
29,14,9
30,2,2
31,58,1
32,1,1
33,3,1
34,1,2
35,3,1
36,1,13
37,1,1
38,1,1
39,1,1
40,1,6
41,1,22
42,1,1
43,1,1
44,4,1
45,1,4
46,1,1
47,2,2
48,1,3
49,5,2
50,1,1
51,1,1
52,2,2
53,1,1
54,6,5
55,7,1
56,3,2
57,2,1
58,10,11
59,1,1
60,1,6
61,1,1
62,1,1
63,1,1
64,4,1
65,1,9
66,3,1
67,1,2
68,1,25
69,18,1
70,3,2
71,1,3
72,4,2
73,1,3
74,1,2
75,1,1
76,1,1
77,7,1
78,1,1
79,24,7
80,4,1
81,3,1
82,7,3
83,8,7
84,3,1
85,4,4
86,2,1
87,1,5
88,4,1
89,2,1
90,1,1
91,1,1
92,41,1
93,2,8
94,4,1
95,1,10
96,1,1
97,1,3
98,1,6
99,1,1
100,1,1
101,1,1
102,6,14
103,3,4
104,1,8
105,26,2
106,1,1
107,1,1
108,4,1
109,3,1
110,1,1
111,1,1
112,2,1
113,1,1
114,1,1
115,2,1
116,2,3
117,2,11
118,2,1
119,18,2
120,1,4
121,3,5
122,2,8
123,1,1
124,1,1
125,5,1
126,3,1
127,2,1
128,1,4
129,17,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,5,1
139,1,1
140,2,1
141,2,1
142,2,1
143,1,2
144,2,14
145,2,1
146,1,1
147,1,1
148,7,5
149,4,1
150,1,5
151,2,9
152,1,1
153,5,2
154,1,1
155,1,8
156,1,1
157,1,2
158,3,4
159,1,1
160,1,5
161,1,4
162,2,1
163,1,4
164,3,1
165,2,1
166,1,15
167,1,1
168,1,1
169,1,1
170,2,8
171,1,1
172,4,3
173,3,1
174,6,14
175,1,1
176,2,2
177,2,1
178,1,2
179,19,1
180,2,45
181,3,4
182,2,3
183,1,1
184,1,6
185,1,1
186,1,3
187,1,22
188,1,1
189,1,1
190,1,1
191,1,2
192,3,1
193,2,1
194,1,2
195,1,1
196,10,1
197,1,1
198,1,2
199,1,1
200,1,1
201,2,1
202,2,1
203,2,8
204,1,5
205,14,17
206,7,2
207,1,2
208,3,1
209,1,1
210,1,1
211,2,13
212,1,9
213,2,1
214,1,1
215,2,2
216,13,2
217,1,7
218,1,1
219,1,1
220,3,1
221,2,1
222,2,2
223,11,1
224,1,1
225,3,3
226,1,3
227,3,1
228,3,1
229,1,1
230,7,1
231,1,1
232,1,9
233,1,1
234,1,1
235,3,1
236,4,3
237,4,1
238,3,1
239,3,25
240,1,1
241,2,4
242,7,1
243,1,3
244,1,1
245,1,8
246,3,1
247,2,2
248,2,4
249,2,1
250,12,2
251,2,17
252,55,2
253,1,1
254,16,1
255,16,16
256,1,1
257,2,1
258,1,1
259,1,1
260,26,8
261,5,1
262,1,1
263,9,1
264,3,1
265,5,1
266,3,2
267,2,1
268,10,1
269,2,1
270,1,1
271,5,8
272,18,1
273,1,4
274,16,15
275,1,10
276,4,32
277,1,2
278,1,1
279,1,2
280,3,1
281,1,1
282,10,7
283,5,1
284,2,2
285,2,1
286,1,1
287,1,1
288,4,1
289,1,1
290,2,1
291,1,1
292,1,6
293,1,3
294,2,5
295,9,1
296,3,2
297,2,68
298,3,1
299,1,1
300,1,1
301,5,2
302,1,1
303,4,3
304,5,1
305,1,1
306,1,1
307,1,1
308,4,7
309,18,1
310,5,15
311,1,1
312,2,2
313,1,2
314,1,1
315,3,1
316,1,1
317,5,5
318,3,1
319,4,1
320,1,1
321,1,1
322,4,1
323,23,7
324,1,5
325,2,6
326,1,4
327,1,1
328,1,1
329,1,1
330,1,3
331,1,5
332,2,1
333,1,1
334,5,20
335,31,1
336,4,6
337,1,3
338,3,1
339,1,1
340,1,1
341,1,1
342,17,2
343,1,9
344,2,2
345,3,2
346,1,21
347,56,1
348,1,19
349,2,4
350,1,6
351,3,2
352,1,1
353,1,4
354,2,2
355,1,1
356,2,1
357,1,2
358,1,1
359,3,1
360,1,2
361,4,4
362,1,1
363,5,1
364,8,1
365,1,1
366,1,2
367,1,2
368,1,1
369,2,2
370,3,1
371,1,1
372,1,3
373,20,10
374,7,1
375,4,4
376,1,17
377,2,100
378,1,22
379,9,46
380,2,2
381,1,2
382,18,1
383,1,2
384,16,3
385,20,3
386,18,1
387,1,1
388,1,2
389,9,1
390,1,1
391,1,26
392,3,1
393,9,1
394,1,20
395,1,2
396,14,8
397,2,2
398,2,1
399,10,9
400,2,1
401,1,24
402,1,2
403,1,1
404,9,2
405,4,1
406,1,4
407,1,1
408,3,2
409,2,1
410,3,18
411,1,1
412,1,5
413,1,1
414,1,1
415,2,1
416,7,14
417,6,1
418,1,4
419,2,15
420,1,1
421,1,1
422,5,8
423,2,4
424,1,1
425,1,1
426,2,1
427,14,27
428,2,1
429,1,6
430,3,120
431,1,1
432,9,7
433,2,2
434,6,1
435,1,10
436,6,36
437,85,1
438,2,2
439,1,3
440,2,3
441,1,11
442,1,13
443,1,12
444,1,1
445,1,5
446,3,7
447,1,5
448,9,3
449,2,11
450,1,1
451,3,1
452,1,1
453,4,3
454,1,2
455,1,1
456,1,1
457,1,1
458,1,1
459,15,7
460,12,2
461,1,11
462,2,5
463,1,37
464,3,1
465,1,1
466,2,3
467,1,34
468,6,2
469,4,1
470,1,4
471,1,1
472,48,2
473,3,3
474,6,4
475,2,4
476,2,4
477,12,9
478,4,2
479,5,1
480,2,1
481,4,6
482,1,2
483,2,25
484,1,5
485,1,7
486,1,1
487,1,2
488,6,1
489,1,3
490,3,2
491,1,3
492,3,20
493,1,1
494,1,2
495,22,3
496,18,3
497,1,1
498,4,1
499,1,1
500,2,1
501,1,76
502,32,2
503,1,11
504,1,6
505,4,4
506,1,1
507,3,1
508,2,29
509,6,1
510,1,6
511,1,32
512,1,26
513,16,14
514,12,14
515,2,1
516,4,1
517,1,14
518,1,7
519,5,1
520,1,23
521,35,2
522,1,1
523,5,1
524,1,1
525,1,1
526,1,4
527,1,1
528,2,5
529,3,19
530,3,11
531,10,16
532,27,4
533,9,8
534,14,4
535,1,4
536,2,2
537,27,2
538,1,13
539,75,14
540,7,1
541,8,1
542,5,1
543,3,8
544,2,1
545,1,4
546,1,1
547,57,2
548,2,2
549,2,1
550,1,1
551,3,4
552,1,11
553,1,13
554,1,1
555,2,8
556,2,1
557,1,4
558,2,1
559,16,24
560,1,1
561,1,7
562,1,1
563,1,1
564,4,3
565,1,13
566,1,4
567,2,3
568,2,6
569,2,3
570,1,1
571,1,3
572,3,26
573,1,12
574,1,3
575,1,19
576,3,2
577,12,1
578,4,3
579,4,2
580,4,1
581,1,1
582,3,1
583,4,2
584,1,6
585,28,1
586,1,4
587,12,1
588,1,24
589,1,2
590,2,1
591,3,6
592,1,1
593,5,1
594,14,1
595,2,2
596,4,11
597,2,1
598,1,4
599,2,2
600,16,31
601,15,3
602,2,8
603,1,2
604,2,2
605,5,1
606,13,2
607,1,1
608,5,3
609,3,1
610,1,1
611,1,1
612,1,1
613,24,1
614,1,7
615,6,4
616,14,6
617,3,22
618,1,1
619,2,2
620,5,5
621,1,1
622,5,8
623,7,2
624,2,8
625,3,3
626,7,4
627,1,1
628,1,21
629,3,6
630,1,6
631,10,6
632,37,3
633,2,10
634,2,2
635,1,1
636,19,9
637,1,1
638,84,12
639,12,2
640,51,1
641,1,6
642,3,19
643,1,64
644,4,6
645,1,4
646,2,1
647,2,1
648,1,1
649,2,22
650,1,5
651,1,3
652,7,17
653,1,1
654,1,1
655,3,1
656,1,1
657,1,5
658,1,2
659,2,2
660,15,1
661,2,36
662,48,2
663,2,3
664,5,18
665,1,9
666,1,4
667,1,12
668,1,9
669,1,52
670,3,1
671,18,1
672,1,29
673,12,8
674,7,2
675,1,24
676,1,1
677,1,10
678,2,3
679,1,3
680,12,7
681,6,1
682,1,6
683,1,2
684,1,6
685,1,1
686,2,11
687,2,4
688,9,4
689,1,3
690,1,2
691,1,4
692,1,2
693,2,10
694,1,1
695,5,28
696,30,3
697,3,18
698,5,16
699,1,1
700,1,3
701,3,1
702,42,30
703,50,2
704,8,43
705,4,1
706,6,7
707,1,3
708,4,1
709,1,5
710,1,5
711,3,1
712,2,6
713,2,52
714,1,4
715,1,4
716,1,7
717,1,4
718,1,2
719,4,6
720,1,1
721,8,6
722,4,1
723,7,4
724,1,1
725,2,2
726,1,4
727,2,1
728,1,1
729,1,5
730,1,10
731,13,3
732,1,7
733,3,19
734,1,1
735,7,1
736,1,19
737,7,1
738,2,3
739,1,2
740,3,3
