ID,WIDTH,HEIGHT
0,28,76
1,20,90
2,66,50
3,63,77
4,27,12
5,89,22
6,69,1
7,89,19
8,37,78
9,73,19
10,81,15
11,76,23
12,72,38
13,98,79
14,100,89
15,9,38
16,44,19
17,99,50
18,93,26
19,75,15
20,93,11
21,58,83
22,94,24
23,87,4
24,96,65
25,87,27
26,68,34
27,72,4
28,15,87
29,76,34
30,29,69
31,100,16
32,97,8
33,12,66
34,76,39
35,51,90
36,92,48
37,79,31
38,75,34
39,76,25
40,95,48
41,92,22
42,82,41
43,93,22
44,71,11
45,79,25
46,45,9
47,84,31
48,35,35
49,74,39
50,85,39
51,75,50
52,82,21
53,77,16
54,81,30
55,90,33
56,82,18
57,83,53
58,86,34
59,71,27
60,91,27
61,60,52
62,98,48
63,94,32
64,11,99
65,50,75
66,27,83
67,91,49
68,98,30
69,66,37
70,68,62
71,96,28
72,96,24
73,14,80
74,80,13
75,12,18
76,67,30
77,38,18
78,37,25
79,42,20
