ID,WIDTH,HEIGHT,STACK_ID
0,252,1019,0
1,954,865,0
2,416,865,0
3,790,1189,0
4,222,1189,0
5,696,1224,0
6,722,342,0
7,646,1592,1
8,246,762,1
9,940,2155,1
10,310,1009,1
11,310,1009,1
12,790,1019,1
13,804,1127,2
14,430,776,2
15,737,195,2
16,316,1106,2
17,316,1106,2
18,195,1261,2
19,805,1187,2
20,1395,954,3
21,791,885,3
22,559,1605,3
23,559,1605,3
24,559,1605,3
25,480,427,3
26,952,257,3
27,387,1901,4
28,387,1901,4
29,361,868,4
30,361,868,4
31,322,972,5
32,587,1022,5
33,354,1117,5
34,354,1117,5
35,800,1936,5
36,329,1027,5
37,329,1027,5
38,825,243,6
39,856,296,6
40,886,441,6
41,332,947,6
42,332,947,6
43,782,1182,6
44,322,972,6
45,815,858,7
46,1108,1420,7
47,247,2039,7
48,232,2303,7
49,859,303,7
