ID,BIN,X,Y,WIDTH,HEIGHT
0,0,4567,271,7,5
1,0,4859,143,1,2
2,1,2216,423,3,4
3,1,5723,904,2,2
4,2,568,8,1,2
5,2,3383,1022,2,3
6,3,3150,1168,3,4
7,3,5773,688,7,5
8,4,4646,563,7,4
9,4,5171,938,5,5
10,5,1779,25,3,4
11,5,1836,892,1,2
12,5,3061,909,5,5
13,5,3393,169,3,4
14,7,1554,2950,3,4
15,8,390,1408,6,4
16,8,4239,1016,4,5
17,10,1731,1177,4,3
18,10,3203,596,2,2
19,11,2655,1933,3,5
20,12,2186,346,3,4
21,14,2215,910,3,3
22,14,2971,461,1,2
23,14,3301,754,5,4
24,14,3462,446,3,3
25,14,5753,62,3,4
26,16,5699,116,12,6
27,17,1232,135,3,4
28,17,2045,1926,2,4
29,17,2799,520,2,2
30,17,2825,524,2,2
31,17,2822,1938,6,6
32,18,2958,712,2,3
33,18,5292,369,6,5
34,19,295,627,2,3
35,19,1218,254,3,5
36,20,7,1947,1,3
37,20,2761,1115,3,5
38,22,3420,1004,4,4
39,24,2350,2142,1,2
40,24,2397,2150,3,4
41,24,2404,2151,4,5
42,25,3172,2054,6,2
43,27,5955,895,2,3
44,28,231,1859,3,3
45,28,2894,752,6,5
46,28,3302,1342,5,5
47,29,2614,167,2,2
48,30,4090,133,11,7
49,31,1745,2755,10,6
50,32,2955,1691,3,4
51,32,3649,3169,2,3
52,33,802,981,1,2
53,33,2100,2532,4,3
54,33,4173,966,4,4
55,33,4341,1113,4,5
56,34,688,1079,5,5
57,34,2945,2270,1,3
58,36,1304,286,3,4
59,38,507,1500,3,3
60,38,2005,929,1,3
61,38,4622,2662,1,2
62,39,47,588,3,4
63,39,269,766,3,4
64,39,1674,1347,3,5
65,39,3805,304,2,3
66,41,58,2333,1,2
67,41,3203,906,2,3
68,42,5277,290,6,5
69,43,4106,45,2,3
70,43,5968,785,3,4
71,45,5000,1346,3,3
72,46,1779,167,2,2
73,47,695,1643,5,4
74,48,1712,2781,2,4
75,48,4998,3025,4,4
76,49,3480,2684,2,3
77,50,5594,101,1,2
78,51,4717,3148,8,6
79,52,507,56,3,5
80,52,2399,38,7,5
81,52,2536,191,2,4
82,53,1892,270,2,4
83,53,2091,355,1,3
84,53,4483,418,1,3
85,55,1561,49,9,4
86,56,5271,256,1,2
87,57,5015,400,1,2
88,58,2199,3138,2,2
89,58,2311,991,6,5
90,59,595,807,3,3
91,59,4271,2785,2,3
92,60,3980,567,4,4
93,61,1127,3007,2,4
94,61,2021,608,2,4
95,61,3389,232,3,4
96,61,3529,554,5,4
97,62,584,2647,16,7
98,62,1486,503,3,3
99,63,5981,827,1,2
100,65,4236,2875,3,4
101,65,4516,2291,3,6
102,65,4614,2682,2,3
103,65,5090,978,3,5
104,67,1059,257,2,4
105,67,1058,259,2,2
106,67,2601,166,3,4
107,68,572,1229,3,2
108,69,2083,421,2,3
109,69,2422,444,2,4
110,69,3823,1055,1,3
111,70,2199,743,3,4
112,71,1242,610,3,4
113,71,4424,27,1,2
114,72,31,1036,1,3
115,72,1664,3139,9,3
116,72,2542,2817,4,3
117,72,4325,660,1,3
118,73,730,2201,3,5
119,73,3078,93,1,2
120,73,4042,3049,3,3
121,74,5039,2682,1,2
122,75,244,699,4,4
123,76,458,620,3,4
124,76,5463,435,2,3
125,78,925,566,1,2
126,78,4847,32,3,3
127,78,5876,433,1,2
128,79,1768,548,4,4
129,79,2485,823,3,5
130,79,2807,836,1,3
131,80,1136,1579,6,4
132,80,2971,328,3,3
133,80,3270,267,3,3
134,80,3270,267,3,2
135,80,4348,40,3,4
136,81,1163,912,4,5
137,82,1290,678,3,3
138,82,2640,1239,3,3
139,83,312,883,2,1
140,83,850,2432,4,5
141,83,2440,1381,4,4
142,84,1383,174,2,3
143,84,1493,2905,2,4
144,84,4644,1388,4,5
145,85,2574,2798,3,3
146,86,4090,2631,4,6
147,87,5577,2557,3,3
148,88,1304,2830,3,3
149,88,3793,83,1,2
150,89,1208,577,2,3
151,89,3976,584,4,5
152,89,5808,132,1,2
153,90,4605,705,4,5
154,90,5685,160,1,2
155,91,280,2288,3,4
156,93,4893,872,3,4
157,94,4772,1124,6,6
158,95,4554,561,2,1
159,96,4822,1422,3,4
160,97,4618,1531,3,4
161,97,5158,2956,1,2
162,97,5255,352,2,2
163,99,1213,1155,2,3
164,99,4997,3187,1,2
