ID,WIDTH,HEIGHT,NEWSTACK
0,648,430,1
1,658,431,0
2,388,1340,0
3,388,1340,0
4,388,1340,0
5,388,1340,0
6,500,1168,0
7,500,1168,0
8,878,382,0
9,878,382,0
10,288,844,1
11,288,844,0
12,258,814,0
13,258,814,0
14,458,604,0
15,518,894,0
16,563,1648,0
17,563,1648,0
18,563,1648,0
19,658,431,0
20,352,1039,1
21,352,1039,0
22,798,1140,0
23,798,1140,0
24,309,1140,0
25,766,1140,0
26,309,1140,0
27,766,1140,0
28,303,1054,0
29,303,1054,0
30,364,1314,1
31,364,1314,0
32,434,280,0
33,434,280,0
34,431,280,0
35,431,280,0
36,431,275,0
37,431,275,0
38,431,255,0
39,431,255,0
40,369,1329,1
41,369,1329,0
42,369,1329,0
43,369,1329,0
44,367,1329,0
45,367,1329,0
46,369,1314,0
47,369,1314,0
48,369,1314,0
49,369,1314,0
50,372,1329,1
51,372,1329,0
52,369,1329,0
53,369,1329,0
54,440,2187,1
55,787,2187,0
56,1170,431,1
57,780,1375,0
58,1029,1410,0
59,870,2089,0
60,975,975,0
61,716,1012,0
62,648,1039,0
63,311,897,0
64,716,897,0
65,646,962,0
66,634,1444,1
67,573,2089,0
68,573,2089,0
69,1895,448,0
70,1185,448,0
71,871,931,0
72,1399,568,0
73,970,431,0
74,1170,431,0
75,1170,431,0
76,341,934,1
77,341,934,0
78,398,944,0
79,398,944,0
80,341,1144,0
81,341,1144,0
82,343,1595,0
83,343,1595,0
84,755,1812,0
85,1399,568,0
86,765,1574,1
87,341,934,0
88,341,934,0
89,690,1268,1
90,486,1275,0
91,486,1275,0
92,566,1937,0
93,566,1937,0
94,613,2205,0
95,545,826,0
96,545,872,0
