ID,WIDTH,HEIGHT,NEWSTACK
0,610,741,1
1,526,657,0
2,526,657,0
3,526,657,0
4,526,657,0
5,526,657,0
6,526,657,0
7,526,657,0
8,526,657,0
9,526,657,0
10,526,657,0
11,526,657,0
12,526,657,0
13,526,657,0
14,526,657,0
15,526,657,0
16,526,657,0
17,1180,996,0
18,402,1842,0
19,402,1842,0
20,402,1842,0
21,402,1842,0
22,549,1223,0
23,549,1223,0
24,549,1223,0
25,726,2175,0
26,602,1395,1
27,602,1395,0
28,552,1165,0
29,552,1165,0
30,556,1089,0
31,196,615,0
32,196,615,0
33,196,615,0
34,450,2059,0
35,450,2059,0
36,450,2059,0
37,450,2059,0
38,547,1107,0
39,547,1107,0
40,442,1017,0
41,442,1017,0
42,447,907,0
43,447,907,0
44,610,741,0
45,610,741,0
46,610,741,0
47,610,741,0
48,610,741,0
49,610,741,0
50,610,741,0
51,606,1927,1
52,737,1927,0
53,737,1927,0
54,487,1077,0
55,487,1077,0
56,487,1077,0
57,487,1077,0
58,487,1077,0
59,487,1077,0
60,487,1077,0
61,487,1077,0
62,581,1245,0
63,581,1245,0
64,581,1245,0
65,581,1245,0
66,547,1682,0
67,547,1682,0
68,581,1245,0
69,581,1245,0
70,597,1405,0
71,597,1405,0
72,555,1455,0
73,555,1455,0
74,455,1445,0
75,455,1445,0
76,413,1880,0
77,737,1927,0
78,455,1445,0
79,558,1964,1
80,558,1964,0
81,558,1964,0
82,558,1964,0
83,347,508,0
84,347,508,0
85,630,362,0
86,555,1217,0
87,555,1217,0
88,487,692,0
89,487,692,0
90,487,692,0
91,487,692,0
92,587,1999,0
93,587,1999,0
94,587,1999,0
95,587,1999,0
96,487,1077,0
97,487,1077,0
98,487,1077,0
99,487,1077,0
100,487,1077,0
101,487,1077,0
102,487,877,0
103,487,877,0
104,745,2059,1
105,493,1140,0
106,493,1140,0
107,493,1140,0
108,493,1140,0
109,552,1880,0
110,552,1880,0
111,552,1880,0
112,552,1880,0
113,552,1880,0
114,552,1880,0
115,455,715,0
116,455,715,0
117,358,1023,0
118,358,1023,0
119,358,1023,0
120,358,1023,0
121,358,1023,0
122,358,1023,0
123,358,1023,0
124,358,1023,0
125,358,1023,0
126,358,1023,0
127,358,1023,0
128,358,1023,0
129,358,1023,0
130,600,1396,1
131,418,659,0
132,418,659,0
133,418,659,0
134,418,659,0
135,418,659,0
136,418,659,0
137,418,659,0
138,418,659,0
139,498,840,0
140,498,840,0
141,684,780,0
142,484,580,0
143,736,1939,0
144,498,1040,0
145,498,1040,0
146,498,1040,0
147,498,1040,0
148,498,1040,0
149,498,1040,0
150,636,2019,0
151,493,1140,0
152,493,1140,0
153,493,1140,0
154,493,1140,0
155,354,475,1
156,370,1888,0
157,370,1888,0
158,1013,440,0
159,413,1978,0
160,413,1978,0
161,413,1978,0
162,413,1978,0
163,413,1978,0
164,413,1978,0
165,384,580,0
166,453,1438,0
167,453,1438,0
168,1064,270,0
169,475,2014,0
170,475,2014,0
171,1038,202,0
172,618,1829,0
173,636,1415,0
174,550,810,0
175,604,745,0
176,704,285,0
177,994,275,0
178,320,868,0
179,320,868,0
180,550,810,0
181,604,745,0
182,704,285,0
183,994,275,0
184,320,868,0
185,320,868,0
186,401,1915,1
187,401,1915,0
188,545,998,0
189,545,998,0
190,364,913,0
191,364,913,0
192,364,910,0
193,364,910,0
194,446,903,0
195,446,903,0
196,416,513,0
197,416,511,0
198,540,1524,0
199,662,1901,0
200,364,913,0
201,364,913,0
202,387,505,0
203,230,2234,0
204,230,2234,0
205,620,2266,0
206,473,1134,0
207,473,1134,0
208,465,903,0
209,465,903,0
210,744,1979,0
211,620,2266,0
212,473,1134,0
213,473,1134,0
214,465,903,0
215,465,903,0
216,744,1979,0
217,364,910,0
218,455,1174,1
219,455,1074,0
220,455,1074,0
221,455,1074,0
222,455,1074,0
223,213,577,0
224,634,883,0
225,634,883,0
226,533,523,0
227,448,404,0
228,448,404,0
229,448,404,0
230,448,404,0
231,816,1979,0
232,471,1919,0
233,471,1919,0
234,610,2013,0
235,656,1834,0
236,638,1258,0
237,618,1238,0
238,648,1198,0
239,401,1915,0
240,401,1915,0
241,401,1915,0
242,401,1915,0
243,401,1915,0
244,455,1744,1
245,455,1744,0
246,407,1724,0
247,407,1724,0
248,455,1174,0
249,455,1174,0
250,455,1174,0
251,1066,570,1
252,1066,570,0
253,346,704,0
254,346,704,0
255,346,704,0
256,346,704,0
257,656,1009,0
258,656,1009,0
259,915,1069,0
260,546,1104,0
261,546,1104,0
262,546,1104,0
263,546,1104,0
264,446,1104,0
265,446,1104,0
266,446,1104,0
267,446,1104,0
268,656,1204,0
269,656,1204,0
270,451,1204,0
271,451,1204,0
272,451,1204,0
273,451,1204,0
274,453,1204,0
275,453,1204,0
276,373,1557,1
277,443,1192,0
278,443,1192,0
279,389,1392,0
280,389,1392,0
281,389,1392,0
282,344,1537,0
283,344,1537,0
284,456,269,0
285,456,269,0
286,446,499,0
287,446,499,0
288,414,502,0
289,456,504,0
290,456,504,0
291,456,504,0
292,456,504,0
293,614,509,0
294,614,509,0
295,546,1656,0
296,546,1656,0
297,664,1696,0
298,653,1736,0
299,653,1736,0
300,676,451,0
301,459,1678,1
302,459,1678,0
303,459,1678,0
304,406,1712,0
305,406,1712,0
306,466,1599,0
307,466,1599,0
308,466,1599,0
309,466,1599,0
310,466,1599,0
311,466,1599,0
312,363,1849,0
313,363,1849,0
314,596,1565,0
315,276,960,0
316,276,960,0
317,261,1060,0
318,261,1060,0
319,383,1437,0
320,383,1437,0
321,383,1437,0
322,383,1437,0
323,351,1490,0
324,351,1490,0
325,373,1557,0
326,381,1653,1
327,381,1653,0
328,381,1653,0
329,381,1653,0
330,500,825,0
331,600,1000,0
332,600,1000,0
333,600,1000,0
334,600,1000,0
335,600,1000,0
336,600,1000,0
337,500,1100,0
338,500,1100,0
339,500,1100,0
340,500,1100,0
341,500,1100,0
342,500,1100,0
343,500,1100,0
344,500,1100,0
345,406,1125,0
346,406,1125,0
347,636,1395,0
348,636,1395,0
349,753,1478,0
350,459,1678,0
351,500,1000,1
352,500,1000,0
353,500,1000,0
354,500,1000,0
355,500,1000,0
356,559,1678,0
357,559,1678,0
358,459,1678,0
359,459,1678,0
360,459,1678,0
361,459,1678,0
362,459,1678,0
363,459,1678,0
364,506,612,0
365,506,612,0
366,251,765,0
367,251,765,0
368,703,918,0
369,715,1007,0
370,358,1019,0
371,358,1019,0
372,358,1019,0
373,358,1019,0
374,415,1335,0
375,415,1335,0
376,358,1019,0
377,415,1335,0
378,415,1335,0
379,400,1400,1
380,400,1400,0
381,400,1400,0
382,400,1400,0
383,400,1400,0
384,400,1400,0
385,400,1400,0
386,400,1400,0
387,400,1400,0
388,400,1400,0
389,500,1000,0
390,500,1000,0
391,500,1000,0
392,500,1000,0
393,500,1000,0
394,500,1000,0
395,500,1000,0
396,500,1000,0
397,500,1000,0
398,500,1000,0
399,500,1000,0
400,500,1000,0
401,500,1000,0
402,500,1000,0
403,500,1000,0
404,581,1811,1
405,581,1811,0
406,581,1811,0
407,581,1811,0
408,581,1811,0
409,500,1000,0
410,500,1000,0
411,500,1000,0
412,500,1000,0
413,500,1000,0
414,500,1000,0
415,500,1000,0
416,500,1000,0
417,400,1400,0
418,400,1400,0
419,400,1400,0
420,400,1400,0
421,400,1400,0
422,400,1400,0
423,400,1400,0
424,400,1400,0
425,400,1400,0
426,400,1400,0
427,400,1400,0
428,400,1400,0
429,413,1083,1
430,490,1178,0
431,490,1178,0
432,513,1203,0
433,513,1203,0
434,589,1190,0
435,589,1190,0
436,641,1780,0
437,641,1780,0
438,581,1811,0
