ID,BIN,X,Y,WIDTH,HEIGHT
0,0,428,2194,2,4
1,2,2910,3190,3,1
2,2,2911,3185,2,1
3,2,3089,6,1,1
4,4,5938,2437,1,1
5,5,5162,2187,1,1
6,7,318,6,3,1
7,7,1371,1019,2,2
8,7,4855,1650,6,4
9,9,3173,2398,3,4
10,9,3415,2660,3,4
11,10,2555,267,3,3
12,11,5350,2030,1,1
13,13,3952,2451,2,3
14,14,5683,2582,3,4
15,14,5679,2577,3,4
16,16,3931,2525,1,3
17,17,1125,2460,1,2
18,17,2288,778,3,3
19,17,4719,516,4,3
20,18,4453,804,2,1
21,19,591,2634,1,1
22,21,5875,79,2,2
23,22,4811,2449,5,4
24,23,2436,1778,1,2
25,23,3544,2347,1,1
26,24,610,2243,2,4
27,25,1830,1836,1,1
28,26,761,1203,1,1
29,26,1347,2932,1,1
30,26,1374,2928,2,2
31,26,2415,2003,6,4
32,26,3025,139,4,2
33,27,1495,1044,2,3
34,27,3340,749,5,3
35,29,1253,3195,1,1
36,29,1713,1166,2,2
37,29,1857,976,5,4
38,31,4336,2969,5,4
39,32,5035,2146,1,1
40,34,397,910,2,4
41,36,1777,527,2,1
42,37,1328,871,3,3
43,37,1519,875,2,3
44,38,1713,2414,1,1
45,39,1966,1619,1,1
46,40,1294,869,2,3
47,42,4197,1893,1,3
48,43,3636,1711,4,3
49,44,5406,748,1,1
50,45,4266,1047,1,1
51,46,2851,1880,1,3
52,47,4779,2610,3,2
53,48,806,1992,2,4
54,48,2692,2661,1,1
55,49,1259,2374,2,2
56,49,1339,3182,4,2
57,50,604,2300,1,1
58,52,3436,1247,1,1
59,54,806,2775,2,3
60,55,172,3083,2,3
61,57,1338,2207,1,1
62,57,2441,2929,1,3
63,57,3624,2929,2,3
64,57,4045,1717,1,2
65,58,560,2910,1,2
66,58,1868,1103,1,1
67,59,1544,2894,1,2
68,60,217,607,1,1
69,60,4261,256,1,1
70,61,5350,2930,2,2
71,62,1134,2993,5,4
72,63,662,2905,1,3
73,63,4039,1414,1,2
74,64,3303,2205,1,3
75,64,4977,3177,1,1
76,65,2269,3157,1,2
77,65,3632,2901,1,2
78,66,4539,2943,2,4
79,68,3703,2833,1,2
80,69,871,1210,1,3
81,69,2634,683,3,4
82,71,466,277,1,1
83,72,5120,138,5,2
84,73,1019,1756,1,1
85,75,621,1807,1,2
86,77,1653,1125,4,2
87,79,3119,3183,1,1
88,79,4290,3187,2,3
89,81,5193,955,6,3
90,82,2021,2802,1,1
91,82,3577,3186,1,1
92,83,2531,1308,1,3
93,85,1202,1552,1,1
94,87,5533,3101,2,3
95,89,2133,2883,1,1
96,91,1761,761,3,3
97,91,4720,2107,1,1
98,92,715,1740,1,3
99,94,5688,901,2,4
100,96,3894,258,4,2
101,96,5591,152,3,2
102,97,3574,2774,1,1
103,98,1302,2866,1,1
104,98,5430,1216,1,1
105,99,1177,2931,1,1
106,99,3926,197,1,1
