ID,WIDTH,HEIGHT,STACK_ID
0,1299,1925,0
1,1299,1920,0
2,1299,1920,0
3,1299,1920,0
4,1299,1920,0
5,1299,1960,0
6,1299,1960,0
7,1299,1960,0
8,1299,1960,0
9,1299,1935,0
10,1299,1935,0
11,1299,1920,0
12,1299,1920,0
13,1299,1920,0
14,1299,1920,0
15,1299,1920,0
16,1299,1920,0
17,1299,1920,0
18,1299,1920,0
19,1299,1920,0
20,1299,1920,0
21,862,2123,1
22,862,2123,1
23,862,2123,1
24,862,2123,1
25,1074,1953,1
26,1074,1953,1
27,1105,1768,1
28,1105,1768,1
29,1200,2239,1
30,1200,2239,1
31,1320,2239,1
32,1320,2239,1
33,1299,1935,1
34,1299,1935,1
35,1299,1925,1
36,1299,1925,1
37,1299,1925,1
38,1299,1925,1
39,1299,1925,1
40,1299,1925,1
41,1299,1925,1
42,645,1800,2
43,645,1800,2
44,645,1800,2
45,645,1800,2
46,645,1800,2
47,645,1800,2
48,645,1800,2
49,645,1800,2
50,645,1800,2
51,764,2130,2
52,645,1800,2
53,645,1800,2
54,645,1800,2
55,653,1800,2
56,653,1800,2
57,653,1800,2
58,625,648,2
59,625,648,2
60,1080,933,2
61,1080,933,2
62,912,1948,2
63,559,2165,3
64,559,2165,3
65,559,2165,3
66,559,2165,3
67,747,1741,3
68,929,743,3
69,929,743,3
70,1061,234,3
71,645,1800,3
72,645,1800,3
73,645,1800,3
74,645,1800,3
75,645,1800,3
76,645,1800,3
77,645,1800,3
78,645,1800,3
79,645,1800,3
80,645,1800,3
81,764,2130,3
82,764,2130,3
83,645,1800,3
84,979,878,4
85,979,878,4
86,839,2071,4
87,839,2071,4
88,839,2071,4
89,559,2165,4
90,559,2165,4
91,559,2165,4
92,559,2165,4
93,559,2165,4
94,559,2165,4
95,559,2165,4
96,859,2165,4
97,1759,2165,4
98,1759,2165,4
99,1759,2165,4
100,1759,2165,4
101,559,2165,4
102,559,2165,4
103,859,2165,4
104,859,2165,4
105,480,929,5
106,419,574,5
107,419,574,5
108,1461,1324,5
109,194,1946,5
110,194,1946,5
111,194,1946,5
112,194,1946,5
113,194,1946,5
114,194,1946,5
115,477,1929,5
116,477,1929,5
117,477,1929,5
118,477,1929,5
119,477,1929,5
120,477,1929,5
121,979,878,5
122,979,878,5
123,979,878,5
124,979,878,5
125,979,878,5
126,435,765,6
127,435,765,6
128,541,2021,6
129,541,2021,6
130,560,1922,6
131,560,1922,6
132,560,1922,6
133,560,1922,6
134,1107,1992,6
135,1107,1992,6
136,1107,1992,6
137,1107,1992,6
138,811,1922,6
139,811,1922,6
140,1430,1042,6
141,1430,1042,6
142,906,1922,6
143,906,1922,6
144,378,1664,6
145,378,1664,6
146,480,929,6
147,439,1275,7
148,939,397,7
149,420,1089,7
150,420,1089,7
151,939,444,7
152,889,397,7
153,395,1265,7
154,395,1265,7
155,516,1641,7
156,551,384,7
157,551,530,7
158,641,1500,7
159,641,1500,7
160,339,1327,7
161,339,1327,7
162,547,1176,7
163,547,1176,7
164,435,1176,7
165,435,1176,7
166,547,765,7
167,547,765,7
168,596,369,8
169,596,369,8
170,596,464,8
171,596,464,8
172,596,1070,8
173,596,1070,8
174,496,369,8
175,496,369,8
176,496,464,8
177,496,464,8
178,496,1070,8
179,496,1070,8
180,556,1741,8
181,556,1741,8
182,646,906,8
183,646,906,8
184,491,1770,8
185,491,1770,8
186,439,399,8
187,439,399,8
188,439,1275,8
189,347,2051,9
190,347,2051,9
191,347,2051,9
192,549,2051,9
193,549,2051,9
194,549,2051,9
195,549,2051,9
196,528,2051,9
197,528,2051,9
198,589,1100,9
199,589,1100,9
200,484,1057,9
201,484,1057,9
202,589,504,9
203,589,504,9
204,484,459,9
205,484,459,9
206,437,459,9
207,437,459,9
208,437,1062,9
209,437,1062,9
210,674,1780,10
211,646,1071,10
212,646,1071,10
213,646,1071,10
214,646,1071,10
215,646,1071,10
216,646,1071,10
217,674,1153,10
218,674,1071,10
219,674,1071,10
220,564,1467,10
221,564,1467,10
222,386,1507,10
223,386,1507,10
224,386,1507,10
225,386,1507,10
226,386,1507,10
227,386,1507,10
228,386,1507,10
229,386,1507,10
230,347,2051,10
231,494,1957,11
232,494,1957,11
233,494,1957,11
234,494,1957,11
235,494,1957,11
236,494,1957,11
237,627,657,11
238,499,1457,11
239,499,1457,11
240,401,1226,11
241,401,1226,11
242,674,1821,11
243,674,1821,11
244,674,1780,11
245,674,1780,11
246,674,1780,11
