ID,WIDTH,HEIGHT,NEWSTACK
0,511,1110,1
1,511,1110,0
2,511,1110,0
3,511,1110,0
4,511,1110,0
5,702,925,0
6,802,909,0
7,802,909,0
8,802,909,0
9,802,1109,0
10,802,1109,0
11,802,1109,0
12,802,2009,0
13,793,456,0
14,593,456,0
15,593,456,0
16,593,456,0
17,808,1090,0
18,808,1090,0
19,493,965,0
20,470,1050,0
21,193,453,0
22,522,853,0
23,522,853,0
24,318,1187,0
25,478,1238,1
26,478,1238,0
27,483,1458,0
28,483,1458,0
29,493,1393,0
30,493,1393,0
31,493,1393,0
32,493,1393,0
33,493,1393,0
34,493,1393,0
35,658,1438,0
36,658,1438,0
37,766,1047,0
38,1435,661,0
39,835,910,0
40,835,1111,0
41,835,1111,0
42,511,1110,0
43,511,1110,0
44,511,1110,0
45,728,1897,1
46,766,1047,0
47,766,1047,0
48,766,1047,0
49,766,1047,0
50,766,1047,0
51,766,1047,0
52,766,1047,0
53,766,1047,0
54,766,1047,0
55,766,1047,0
56,766,1047,0
57,766,1047,0
58,766,1793,0
59,766,1793,0
60,766,1963,0
61,293,1092,0
62,293,1092,0
63,478,1218,0
64,478,1218,0
65,478,1218,0
66,766,1047,1
67,766,1047,0
68,766,1047,0
69,766,1047,0
70,766,1047,0
71,766,1793,0
72,766,1963,0
73,766,1963,0
74,766,1963,0
75,766,1963,0
76,766,1963,0
77,644,1727,0
78,644,1727,0
79,644,1727,0
80,644,1727,0
81,644,1897,0
82,644,1897,0
83,644,1897,0
84,644,1897,0
85,728,1897,0
86,766,1047,1
87,766,1047,0
88,766,1963,0
89,800,1920,0
90,800,1920,0
91,866,962,0
92,644,1897,0
93,644,1897,0
94,644,1897,0
95,644,1897,0
96,644,1897,0
97,644,1897,0
98,644,1897,0
99,644,1897,0
100,693,1963,0
101,693,1963,0
102,766,1047,0
103,766,1047,0
104,766,1047,0
105,766,1047,0
106,552,1102,1
107,760,986,0
108,760,986,0
109,458,1108,0
110,458,1108,0
111,493,1063,0
112,493,1063,0
113,644,1897,0
114,644,1897,0
115,644,1897,0
116,644,1897,0
117,727,1077,0
118,727,1077,0
119,727,1077,0
120,727,1077,0
121,766,1047,0
122,766,1047,0
123,766,1047,0
124,766,1047,0
125,766,1047,0
126,716,2045,1
127,716,2045,0
128,716,2045,0
129,716,2045,0
130,716,2045,0
131,716,2045,0
132,716,1875,0
133,716,1875,0
134,716,2045,0
135,716,2045,0
136,849,2045,0
137,982,919,0
138,792,383,0
139,1027,490,0
140,461,1783,0
141,889,490,0
142,1227,490,0
143,1227,490,0
144,1227,490,0
145,552,1102,0
146,718,757,1
147,1250,895,0
148,802,1110,0
149,702,1487,0
150,960,1056,0
151,960,1056,0
152,960,1056,0
153,960,1056,0
154,1060,873,0
155,1060,973,0
156,1060,973,0
157,678,877,0
158,557,971,0
159,557,972,0
160,937,972,0
161,1000,826,0
162,1000,826,0
163,1300,920,0
164,1300,920,0
165,750,245,0
166,1300,920,0
167,1300,920,0
168,750,245,0
169,523,1014,1
170,523,1014,0
171,517,1016,0
172,517,1016,0
173,664,1340,0
174,664,1340,0
175,664,1340,0
176,664,1340,0
177,664,1340,0
178,664,1340,0
179,594,777,0
180,594,777,0
181,381,878,0
182,381,878,0
183,381,878,0
184,381,878,0
185,568,1727,0
186,568,1727,0
187,568,1727,0
188,568,1727,0
189,1059,280,1
190,478,1280,0
191,478,1280,0
192,503,1710,0
193,503,1710,0
194,234,429,0
195,510,2147,0
196,510,2147,0
197,510,2147,0
198,510,2147,0
199,384,1922,0
200,344,1922,0
201,478,1917,0
202,478,1917,0
203,478,1917,0
204,478,1917,0
205,523,1014,0
206,523,1014,0
207,523,1014,0
208,523,1014,0
209,475,1894,1
210,475,1894,0
211,425,1899,0
212,425,1899,0
213,244,2165,0
214,244,2165,0
215,495,2099,0
216,495,2099,0
217,495,2099,0
218,495,2099,0
219,244,2165,0
220,244,2165,0
221,631,1188,0
222,631,1188,0
223,493,876,0
224,493,876,0
225,451,1009,0
226,451,1009,0
227,644,876,0
228,610,1595,0
229,451,1009,0
230,644,876,0
231,610,1595,0
232,443,1580,1
233,362,543,0
234,444,1748,0
235,444,1748,0
236,444,1748,0
237,444,1748,0
238,487,893,0
239,487,893,0
240,487,993,0
241,487,993,0
242,487,993,0
243,487,993,0
244,439,1933,0
245,439,1933,0
246,439,1941,0
247,439,1941,0
248,543,1197,0
249,543,1197,0
250,473,1769,0
251,473,1769,0
252,473,1769,0
253,473,1769,0
254,888,1064,1
255,888,1064,0
256,888,1064,0
257,888,1064,0
258,888,1064,0
259,395,792,0
260,395,792,0
261,864,270,0
262,864,270,0
263,464,270,0
264,604,348,0
265,604,614,0
266,618,964,0
267,466,1164,0
268,466,1164,0
269,466,1974,0
270,466,1974,0
271,438,497,0
272,438,497,0
273,443,1580,0
274,433,612,1
275,433,1137,0
276,433,612,0
277,496,1177,0
278,496,1177,0
279,496,1177,0
280,496,1177,0
281,496,1771,0
282,496,1771,0
283,670,1771,0
284,522,1771,0
285,522,1771,0
286,613,992,0
287,848,992,0
288,648,1019,0
289,648,1019,0
290,822,1019,0
291,888,1064,0
292,888,1064,0
293,888,1064,0
294,629,824,1
295,629,824,0
296,629,824,0
297,629,824,0
298,629,824,0
299,629,824,0
300,629,824,0
301,629,824,0
302,629,824,0
303,629,824,0
304,514,1174,0
305,514,1174,0
306,538,927,0
307,538,927,0
308,538,927,0
309,538,927,0
310,538,627,0
311,1252,252,0
312,538,627,0
313,433,1137,0
314,538,627,0
315,433,1137,0
316,632,1036,1
317,578,900,0
318,548,902,0
319,548,902,0
320,598,997,0
321,598,997,0
322,622,1949,0
323,401,1873,0
324,401,1873,0
325,334,465,0
326,334,465,0
327,334,465,0
328,334,465,0
329,334,465,0
330,334,465,0
331,334,465,0
332,624,625,0
333,714,622,0
334,629,824,0
335,629,824,0
336,334,465,0
337,334,465,0
338,334,465,0
339,334,465,0
340,624,625,0
341,714,622,0
342,629,824,0
343,629,824,0
