ID,BIN,X,Y,WIDTH,HEIGHT
0,0,5897,1452,1,1
1,1,124,678,8,3
2,1,2791,1392,3,3
3,1,3091,1370,3,3
4,1,3260,1369,3,3
5,1,5434,1396,3,3
6,2,516,2142,2,4
7,2,736,2588,2,3
8,2,1407,1398,3,3
9,2,4318,1333,3,3
10,3,824,1393,3,3
11,3,2333,240,3,2
12,3,2638,1322,3,3
13,3,3181,1377,3,3
14,3,4049,1344,3,3
15,4,470,1161,1,2
16,4,1757,2093,1,3
17,4,1896,1810,5,4
18,4,2833,1930,1,1
19,4,3416,3093,1,1
20,4,3789,1641,2,2
21,5,310,2386,1,1
22,5,2167,2399,1,1
23,5,2456,3188,2,1
24,5,3214,2856,2,2
25,5,4036,3074,5,4
26,5,4183,1532,2,4
27,5,5813,1810,1,2
28,6,5334,3198,1,1
29,7,4384,2854,2,4
30,8,2107,2860,2,3
31,9,3658,3017,1,1
32,10,1170,2499,1,1
33,10,2161,3179,3,2
34,10,5837,3206,4,2
35,11,571,282,1,2
36,12,263,273,4,2
37,12,350,271,2,1
38,14,1231,2503,1,3
39,15,1636,3078,6,3
40,17,2955,4,1,1
41,18,3075,26,2,1
42,19,3131,780,1,3
43,20,4398,1058,1,2
44,22,1959,2957,6,3
45,24,2209,2228,5,4
46,24,5084,54,4,2
47,26,151,2358,2,3
48,28,2036,857,1,1
49,28,3256,797,3,3
50,29,2630,3202,2,1
51,29,2690,3203,1,1
52,31,5903,2048,1,1
53,32,1144,2478,1,1
54,33,3754,1272,1,3
55,34,1755,2831,1,1
56,36,945,2689,1,3
57,37,803,2658,1,1
58,39,1094,2771,4,4
59,41,4766,2550,1,1
60,42,677,1352,3,2
61,44,4278,769,2,3
62,46,1233,897,2,3
63,46,2130,2716,1,1
64,46,3535,2495,3,4
65,47,2699,690,1,1
66,49,353,3182,1,1
67,49,2248,459,6,4
68,49,3944,2402,1,1
69,49,4307,945,1,2
70,50,5256,412,1,1
71,51,2196,3199,1,1
72,52,175,2647,1,1
73,52,5192,1880,4,2
74,54,4814,2499,2,3
75,55,5652,299,1,1
76,56,1345,1186,1,3
77,57,3146,3092,5,3
78,58,797,2212,1,1
79,58,5795,2112,1,1
80,59,2502,3103,2,3
81,60,2450,23,1,1
82,61,1161,807,1,1
83,62,5253,3100,1,3
84,63,664,297,1,1
85,64,1102,3098,2,3
86,66,3978,3184,1,1
87,67,2627,506,1,2
88,68,3415,2313,1,1
89,69,3390,1276,2,3
90,70,4114,2420,2,2
91,71,2341,2269,1,3
92,72,529,1533,7,4
93,72,2722,2745,1,1
94,73,1406,1015,4,1
95,73,2833,2322,1,1
96,73,4436,2477,4,4
97,74,4352,1021,7,4
98,75,1117,794,6,3
99,76,5166,870,1,1
100,76,5986,617,4,4
101,76,5980,613,2,4
102,78,5885,3080,1,1
103,80,1597,596,1,1
104,80,2846,3180,2,1
105,82,2677,1939,2,3
106,84,2011,9,1,1
107,84,3371,1840,6,4
108,85,3394,2040,1,3
109,87,4828,3198,2,2
110,89,4721,993,5,3
111,90,2768,2536,1,1
112,91,3860,2499,1,3
113,92,2147,3162,7,5
114,92,4746,1992,1,3
115,94,4090,195,2,2
116,94,4141,196,1,1
117,95,888,667,6,2
118,97,675,2092,1,1
119,97,1373,2981,1,1
120,98,693,2329,1,1
121,98,2618,248,1,1
122,98,4280,2605,1,2
123,99,117,1375,2,2
124,99,2263,579,2,1
125,99,2822,490,2,2
126,99,2934,3034,1,1
127,99,5153,48,2,2
128,99,5593,972,1,1
129,99,5700,972,1,1
