ID,WIDTH,HEIGHT,STACK_ID
0,823,1906,0
1,1121,1973,0
2,1121,1973,0
3,1121,1973,0
4,821,1996,0
5,821,1973,0
6,1124,1973,0
7,1123,1973,0
8,1156,1138,0
9,1155,1138,0
10,1121,1973,0
11,1321,1748,0
12,818,1961,0
13,843,2021,0
14,1106,2081,0
15,665,1673,0
16,666,1673,0
17,915,1683,0
18,916,1683,0
19,1121,1996,0
20,1123,2031,1
21,1124,2031,1
22,1123,1973,1
23,1124,1973,1
24,699,2186,1
25,699,2186,1
26,699,2186,1
27,699,2186,1
28,699,2191,1
29,699,2191,1
30,641,1973,1
31,640,1973,1
32,707,1961,1
33,707,1961,1
34,707,1961,1
35,707,1961,1
36,821,1996,1
37,821,1996,1
38,821,1996,1
39,824,1906,1
40,596,2111,2
41,596,2111,2
42,1334,2116,2
43,1334,2116,2
44,842,1750,2
45,842,1750,2
46,1083,1761,2
47,1081,1761,2
48,1081,1761,2
49,1083,1761,2
50,896,1011,2
51,896,1011,2
52,1001,1026,2
53,1002,1026,2
54,1002,1026,2
55,1001,1026,2
56,723,2008,2
57,723,2008,2
58,724,2008,2
59,724,2008,2
60,934,1906,3
61,932,1806,3
62,933,1806,3
63,932,1806,3
64,1102,1796,3
65,1103,1796,3
66,1102,1796,3
67,529,991,3
68,529,991,3
69,869,1822,3
70,869,1822,3
71,984,2093,3
72,984,2093,3
73,870,1976,3
74,868,1976,3
75,868,1976,3
76,870,1976,3
77,1143,1972,3
78,1143,1972,3
79,1143,1972,3
80,1079,1903,4
81,1079,1903,4
82,644,906,4
83,644,906,4
84,904,1111,4
85,904,1111,4
86,939,2046,4
87,939,2046,4
88,979,2138,4
89,979,2138,4
90,537,1142,4
91,537,1142,4
92,979,1456,4
93,979,1456,4
94,979,1456,4
95,594,916,4
96,594,916,4
97,796,2056,4
98,796,2056,4
99,934,1906,4
100,1143,1935,5
101,1143,1935,5
102,1143,1935,5
103,829,1731,5
104,829,1731,5
105,914,2032,5
106,914,2032,5
107,1054,1668,5
108,1054,1668,5
109,943,2322,5
110,943,2322,5
111,943,2322,5
112,1102,2266,5
113,1103,2266,5
114,1102,2266,5
115,777,1886,5
116,777,1886,5
117,979,2126,5
118,979,2126,5
119,979,2126,5
120,721,1956,6
121,721,1956,6
122,721,1956,6
123,721,1956,6
124,591,2131,6
125,591,2131,6
126,754,1896,6
127,754,1896,6
128,789,1926,6
129,789,1926,6
130,907,1134,6
131,907,1134,6
132,906,1131,6
133,906,1131,6
134,891,1281,6
135,891,1281,6
136,970,1796,6
137,970,1796,6
138,999,2006,6
139,999,2006,6
140,1166,963,7
141,1167,963,7
142,1166,963,7
143,891,1976,7
144,891,1976,7
145,954,1636,7
146,954,1636,7
147,1304,1636,7
148,1304,1636,7
149,1281,1636,7
150,1281,1636,7
151,849,906,7
152,849,906,7
153,943,2322,7
154,943,2322,7
155,943,2322,7
156,791,491,7
157,791,491,7
158,791,894,7
159,791,894,7
160,843,2009,8
161,843,2009,8
162,1079,1857,8
163,1079,1857,8
164,410,1197,8
165,410,1197,8
166,824,1980,8
167,824,1980,8
168,904,2117,8
169,904,2117,8
170,489,946,8
171,489,946,8
172,506,2086,8
173,504,2086,8
174,504,2086,8
175,506,2086,8
176,797,2051,8
177,797,2051,8
178,621,1151,8
179,621,1151,8
180,876,1971,9
181,877,1971,9
182,877,1971,9
183,876,1971,9
184,876,1971,9
185,1069,1301,9
186,1069,1301,9
187,941,1710,9
188,941,1710,9
189,1069,2086,9
190,1069,2086,9
191,849,1346,9
192,849,1346,9
193,756,2166,9
194,756,2166,9
195,756,2166,9
196,756,2166,9
197,831,1866,9
198,831,1866,9
199,843,2009,9
200,660,2185,10
201,660,2185,10
202,660,2185,10
203,1054,456,10
204,1054,456,10
205,876,875,10
206,877,875,10
207,876,875,10
208,876,2021,10
209,877,2021,10
210,876,2021,10
211,504,746,10
212,504,746,10
213,925,1971,10
214,925,1971,10
215,925,1971,10
216,925,1971,10
217,925,1971,10
218,925,1971,10
219,876,1971,10
220,843,826,11
221,843,826,11
222,843,826,11
223,843,1972,11
224,843,1972,11
225,843,1972,11
226,974,2077,11
227,974,2077,11
228,909,1992,11
229,909,1992,11
230,660,2185,11
231,660,2185,11
232,660,2185,11
