ID,WIDTH,HEIGHT,GROUP
0,3,12,0
1,3,12,0
2,6,4,1
3,5,6,1
4,5,5,1
5,9,8,2
6,6,6,2
7,4,9,2
8,4,7,2
9,3,16,2
10,11,6,3
11,10,5,3
12,8,8,3
13,4,6,3
14,6,8,4
15,3,11,4
16,3,10,4
17,2,11,4
18,8,5,5
19,8,5,5
20,4,14,5
21,4,11,5
22,5,11,6
23,5,8,6
24,4,11,6
25,3,7,6
26,2,15,6
27,8,4,7
28,5,8,7
29,4,24,7
30,3,11,7
31,7,6,8
32,3,8,8
33,2,20,8
34,2,15,8
35,3,12,9
36,5,8,10
37,5,5,10
38,4,6,10
39,3,9,10
40,2,20,10
41,7,4,11
42,4,18,11
43,3,10,11
44,2,10,11
45,3,14,12
46,3,5,12
47,4,6,13
48,3,23,13
49,3,22,13
50,3,7,13
51,3,11,14
52,2,19,14
53,4,7,15
54,3,7,15
55,2,9,15
56,5,12,16
57,5,10,16
58,5,8,16
59,4,6,16
60,2,18,16
61,11,8,17
62,5,7,17
63,3,15,17
64,3,6,17
65,7,5,18
66,8,5,19
67,4,7,19
68,3,5,19
69,2,17,19
70,2,13,19
71,5,6,20
72,3,9,20
73,2,22,20
74,3,5,21
75,6,11,22
76,11,5,23
77,5,8,23
78,4,7,23
79,4,5,23
80,3,5,23
81,6,8,24
82,4,19,25
83,6,12,26
84,6,7,26
85,5,5,26
86,4,10,26
87,10,7,27
88,5,6,27
89,4,5,27
90,3,10,27
91,2,6,27
92,3,7,28
93,7,4,29
94,4,8,29
95,11,6,30
96,4,8,30
97,3,8,30
98,3,6,30
99,2,5,30
100,7,7,31
101,6,4,31
102,5,5,31
103,4,12,31
104,4,24,32
105,4,7,32
106,3,14,32
107,3,5,32
108,6,8,33
109,6,8,34
110,4,10,34
111,3,11,34
112,3,7,34
113,2,5,34
