ID,WIDTH,HEIGHT,NEW_STACK
0,3,26,1
1,9,8,1
2,11,7,1
3,6,13,0
4,8,9,1
5,11,6,1
6,9,8,1
7,9,6,0
8,8,11,1
9,5,20,1
10,2,29,0
11,10,5,1
12,9,16,1
13,8,10,0
14,17,5,1
15,13,5,1
16,4,29,1
17,3,34,1
18,3,21,0
19,18,5,1
20,3,19,0
21,8,18,1
22,5,18,1
23,17,7,1
24,11,5,0
25,9,16,1
26,4,24,1
27,8,9,1
28,3,20,1
29,13,4,1
30,13,5,1
31,6,13,0
32,8,6,1
33,11,5,1
34,17,7,1
35,9,10,0
36,5,14,1
37,3,26,0
38,16,6,1
39,14,7,0
40,16,7,1
41,3,20,0
42,13,6,1
43,3,25,0
44,6,15,1
45,2,26,0
46,8,6,1
47,13,5,1
48,13,4,0
49,5,12,1
50,2,25,0
51,18,4,1
52,3,22,0
53,13,5,1
54,2,23,0
55,17,6,1
56,2,27,0
57,14,7,1
58,8,11,0
59,6,10,1
60,17,6,1
61,3,32,0
62,4,21,1
63,3,28,1
64,2,26,0
65,3,16,1
