ID,WIDTH,HEIGHT,NEW_STACK
0,321,154,1
1,299,179,0
2,233,177,1
3,213,127,0
4,217,147,0
5,245,137,1
6,262,228,0
7,155,295,1
8,210,163,0
9,284,284,0
10,165,370,1
11,313,304,0
12,277,242,1
13,210,281,1
14,346,347,0
15,200,174,1
16,198,182,1
17,187,270,0
18,362,374,0
19,254,164,0
20,315,212,1
21,362,162,0
22,360,225,0
23,243,256,1
24,208,293,0
25,261,175,1
26,260,349,0
27,222,199,0
28,237,179,0
29,278,219,0
30,213,135,0
31,263,302,1
32,325,225,0
33,147,134,1
34,261,204,0
35,281,308,0
36,131,144,0
37,296,127,1
38,270,128,1
39,184,155,1
40,182,216,1
41,226,250,0
42,332,238,0
43,137,328,1
44,344,168,0
45,237,322,0
46,146,178,0
47,159,314,1
48,264,344,0
49,155,344,0
