ID,WIDTH,HEIGHT,GROUP
0,263,302,0
1,362,374,1
2,344,168,2
3,278,219,3
4,362,162,4
5,277,242,5
6,270,128,6
7,299,179,7
8,261,175,8
9,159,314,9
10,213,135,10
11,210,163,11
12,210,281,12
13,360,225,13
14,254,164,14
15,222,199,15
16,200,174,15
17,325,225,15
18,237,179,16
19,137,328,17
20,313,304,18
21,321,154,19
22,217,147,20
23,346,347,21
24,332,238,21
25,182,216,22
26,208,293,23
27,155,344,24
28,155,295,25
29,184,155,25
30,284,284,25
31,261,204,26
32,131,144,26
33,243,256,27
34,260,349,28
35,315,212,29
36,198,182,29
37,146,178,29
38,213,127,30
39,245,137,31
40,147,134,32
41,165,370,33
42,262,228,33
43,233,177,34
44,187,270,34
45,264,344,35
46,237,322,36
47,281,308,37
48,226,250,38
49,296,127,39
