ID,WIDTH,HEIGHT,NEW_STACK
0,8,7,1
1,8,9,1
2,8,12,1
3,3,4,1
4,2,1,1
5,7,7,1
6,3,11,1
7,3,10,1
8,7,12,1
9,1,9,1
10,7,4,1
11,4,3,1
12,1,8,1
13,8,3,1
14,3,12,1
15,7,8,1
16,2,3,1
17,1,1,1
18,8,3,1
19,6,12,1
20,4,11,1
21,5,8,1
22,1,11,1
23,1,4,1
24,8,11,1
25,6,8,1
26,8,8,1
27,3,8,1
28,7,1,1
29,7,12,1
30,8,4,1
31,3,7,1
32,3,3,1
33,3,8,1
34,4,5,1
35,4,11,1
36,5,6,1
37,6,8,1
38,5,11,1
39,7,2,1
40,6,5,1
41,4,8,1
42,3,2,1
43,5,11,1
44,8,8,1
45,4,8,1
46,7,12,1
47,7,4,1
48,2,6,1
49,1,9,1
50,3,1,1
51,3,10,1
52,6,11,1
53,5,10,1
54,7,10,1
55,2,7,1
56,6,3,1
57,3,10,1
58,4,5,1
59,8,2,1
