ID,WIDTH,HEIGHT,GROUP
0,5,1,0
1,5,1,1
2,7,9,2
3,5,2,3
4,4,6,4
5,4,11,5
6,6,12,6
7,3,10,7
8,8,4,8
9,5,11,9
10,4,10,10
11,4,2,10
12,6,8,11
13,1,6,11
14,2,5,12
15,3,1,13
16,8,3,14
17,3,7,14
18,5,10,14
19,5,11,15
20,3,8,15
21,6,11,16
22,1,8,16
23,3,1,17
24,1,9,18
25,8,8,18
26,7,10,18
27,6,5,19
28,4,11,19
29,6,8,20
30,1,2,21
31,7,2,22
32,7,12,22
33,1,1,23
34,5,6,23
35,1,3,23
36,6,8,23
37,4,3,24
38,6,5,25
39,3,2,26
40,4,11,27
41,2,4,28
42,8,3,29
43,5,11,29
44,6,1,29
45,4,5,30
46,1,1,30
47,8,10,30
48,3,11,30
49,2,5,30
50,3,7,31
51,6,7,31
52,1,1,31
53,1,9,32
54,3,10,32
55,8,2,33
56,2,11,33
57,4,8,34
58,7,7,34
59,7,10,35
60,3,8,35
61,4,8,36
62,7,11,37
63,7,6,38
64,1,8,39
65,1,11,39
66,6,11,40
67,5,9,40
68,6,8,41
69,2,6,41
70,1,9,41
71,3,12,42
72,3,7,43
73,5,9,44
74,8,11,45
75,8,7,46
76,8,1,47
77,3,3,48
78,5,10,48
79,5,1,49
80,8,10,49
81,6,2,50
82,5,1,51
83,1,10,52
84,4,7,53
85,3,10,54
86,7,7,54
87,2,4,54
88,5,8,55
89,2,5,55
90,2,9,55
91,4,8,55
92,4,10,56
93,3,1,56
94,1,12,57
95,4,5,58
96,6,1,58
97,7,4,59
98,8,3,59
99,5,9,60
100,8,3,60
101,7,8,61
102,1,11,62
103,3,11,62
104,6,4,62
105,7,12,62
106,6,1,63
107,8,7,64
108,7,12,64
109,5,10,64
110,6,3,65
111,7,4,65
112,8,12,66
113,4,5,66
114,7,7,67
115,4,2,68
116,8,11,69
117,6,7,69
118,3,8,70
119,7,4,71
120,2,7,71
121,4,12,71
122,1,3,72
123,7,12,73
124,6,7,74
125,5,5,74
126,3,2,75
127,6,12,75
128,3,11,76
129,6,9,77
130,1,8,77
131,4,5,77
132,3,11,78
133,4,11,79
134,2,9,80
135,8,1,80
136,2,4,81
137,6,9,81
138,8,8,82
139,2,1,83
140,4,11,83
141,7,1,84
142,4,1,84
143,4,10,85
144,5,9,85
145,5,6,85
146,6,12,85
147,5,5,86
148,5,11,86
149,8,11,87
150,6,1,87
151,2,3,88
152,1,2,88
153,3,6,89
154,6,2,90
155,3,4,91
156,1,4,92
157,7,4,93
158,8,9,94
159,1,3,95
