ID,WIDTH,HEIGHT,GROUP
0,2,2,0
1,3,2,1
2,3,12,1
3,2,4,1
4,9,2,2
5,2,2,2
6,7,2,2
7,2,2,3
8,6,2,3
9,3,3,4
10,2,2,5
11,3,10,5
12,2,2,6
13,2,2,7
14,8,3,8
15,2,2,9
16,2,2,10
17,3,2,11
18,2,3,11
19,2,2,11
20,2,2,11
21,19,2,11
22,2,3,12
23,3,2,12
24,5,13,12
25,2,3,12
26,3,2,12
27,3,12,12
28,3,3,13
29,2,2,13
30,2,2,14
31,8,3,14
32,2,2,14
33,3,3,15
34,48,3,16
35,60,25,17
36,2,2,18
37,2,2,18
38,22,6,19
39,3,2,20
40,2,3,21
41,2,2,21
42,5,2,22
43,3,3,22
44,3,62,23
45,3,8,24
46,4,2,24
47,5,6,25
48,5,12,26
49,2,2,27
50,2,2,28
51,2,2,29
52,3,11,30
53,3,2,31
54,3,2,32
55,59,18,33
56,14,3,34
57,2,2,35
58,2,2,36
59,2,2,37
60,32,2,38
61,5,3,39
62,2,2,40
63,2,2,41
64,2,3,41
65,23,2,41
66,27,2,41
67,2,3,41
68,2,3,42
69,17,8,43
70,31,28,43
71,8,5,44
72,2,8,44
73,3,2,45
74,18,3,45
75,2,3,45
76,4,2,46
77,6,6,47
78,19,8,48
79,2,4,49
80,2,2,50
81,2,2,51
82,2,3,52
83,2,2,53
84,2,2,54
85,6,3,54
86,5,2,55
87,16,3,56
88,2,2,57
89,2,2,58
90,2,2,59
91,2,5,59
92,7,2,60
93,3,2,60
94,5,9,61
95,6,2,62
96,3,3,62
97,6,50,63
98,2,6,63
99,12,3,64
100,2,3,64
101,51,3,64
102,2,2,64
103,2,2,65
104,2,3,65
105,4,6,65
106,32,2,65
107,3,5,66
108,3,21,67
109,5,2,67
110,2,3,68
111,13,3,68
112,54,33,69
113,2,3,70
114,4,2,70
115,2,2,71
116,5,3,72
117,2,2,73
118,4,2,74
119,2,2,75
120,2,2,76
121,2,7,77
122,3,2,78
123,29,2,79
124,3,3,80
125,16,31,81
126,2,2,82
127,13,2,82
128,2,2,82
129,16,4,82
130,2,3,82
131,7,5,83
132,2,2,84
133,3,3,84
134,9,4,84
135,42,3,84
136,4,4,85
137,29,3,86
138,3,2,86
139,5,3,86
140,2,3,86
141,3,6,87
142,2,3,88
143,2,2,89
144,2,3,90
145,2,3,91
146,25,2,91
147,2,2,92
148,3,2,92
149,2,2,92
150,3,2,93
151,2,2,93
152,11,3,94
153,2,2,95
154,2,2,96
155,3,2,97
156,3,3,98
157,2,2,98
158,3,3,98
159,2,3,99
160,2,2,99
161,2,11,100
162,2,5,100
163,3,3,100
164,25,3,101
165,4,3,102
166,3,2,103
167,2,2,103
168,20,2,103
169,2,3,104
170,2,2,104
171,2,7,104
172,2,3,104
173,2,2,105
174,3,2,105
175,2,3,105
176,2,2,105
177,2,8,106
178,20,2,106
179,17,6,106
180,13,33,106
181,2,2,107
182,8,3,107
183,2,2,108
184,2,2,108
185,2,2,109
186,2,2,109
187,3,3,109
188,2,2,110
189,25,3,111
190,2,2,111
191,14,3,111
192,5,28,112
193,34,2,113
194,2,2,114
195,2,2,115
196,5,2,116
197,2,2,117
198,2,2,118
199,3,3,119
