ID,WIDTH,HEIGHT,NEW_STACK
0,8,10,1
1,48,7,1
2,6,10,1
3,7,6,0
4,26,8,0
5,36,6,0
6,47,7,1
7,11,10,1
8,10,6,1
9,15,6,1
10,16,6,1
11,8,10,1
12,25,10,1
13,8,6,0
14,7,10,1
15,64,34,1
16,39,6,1
17,8,6,1
18,6,7,1
19,20,14,1
20,9,7,1
21,46,10,1
22,9,6,0
23,7,6,1
24,10,7,0
25,16,22,0
26,14,8,0
27,6,10,1
28,6,10,1
29,20,6,0
30,7,6,0
31,74,8,1
32,26,6,0
33,11,10,0
34,20,6,0
35,7,6,0
36,74,6,1
37,6,6,0
38,27,6,1
39,25,10,0
40,14,6,1
41,31,10,0
42,11,6,1
43,53,7,1
44,27,19,1
45,10,10,0
46,23,6,1
47,18,6,0
48,10,6,1
49,6,8,0
