ID,WIDTH,HEIGHT,GROUP
0,36,26,0
1,35,25,0
2,24,15,0
3,12,21,0
4,12,21,0
5,36,26,1
6,36,26,1
7,23,33,1
8,25,16,1
9,14,23,1
10,11,19,1
11,11,19,2
12,43,31,3
13,38,28,3
14,34,24,3
15,34,24,3
16,25,16,3
17,11,19,3
18,43,31,4
19,38,28,4
20,38,28,4
21,37,27,4
22,36,26,4
23,23,33,4
24,11,19,4
25,43,31,5
26,37,27,5
27,25,16,5
28,34,24,6
29,24,15,6
30,14,23,6
31,12,21,6
32,43,31,7
33,39,29,7
34,32,22,7
35,21,31,7
36,17,9,7
37,41,30,8
38,39,29,8
39,18,29,8
40,18,29,8
41,25,16,8
42,41,30,9
43,23,33,9
44,21,31,9
45,18,29,9
46,27,17,9
47,27,17,9
48,14,23,9
49,39,29,10
50,35,25,10
51,23,33,10
52,32,22,10
53,32,22,10
54,39,29,11
55,38,28,11
56,37,27,11
57,35,25,11
58,34,24,11
59,21,31,11
60,24,15,11
61,14,23,11
