ID,WIDTH,HEIGHT,NEW_STACK
0,35,25,1
1,25,16,0
2,37,27,1
3,34,24,0
4,23,33,0
5,39,29,1
6,24,15,0
7,36,26,1
8,14,23,0
9,14,23,0
10,36,26,1
11,27,17,1
12,35,25,1
13,24,15,1
14,12,21,1
15,23,33,1
16,32,22,1
17,11,19,1
18,32,22,1
19,14,23,1
20,21,31,1
21,32,22,1
22,25,16,0
23,37,27,1
24,43,31,1
25,38,28,0
26,38,28,1
27,34,24,0
28,21,31,0
29,27,17,0
30,25,16,0
31,43,31,1
32,39,29,1
33,43,31,1
34,23,33,1
35,41,30,1
36,37,27,1
37,34,24,0
38,18,29,1
39,25,16,0
40,11,19,0
41,17,9,0
42,14,23,1
43,38,28,1
44,38,28,0
45,21,31,0
46,36,26,1
47,23,33,1
48,24,15,0
49,12,21,0
50,11,19,0
51,18,29,1
52,41,30,1
53,35,25,0
54,12,21,0
55,18,29,1
56,34,24,1
57,11,19,1
58,36,26,1
59,43,31,1
60,39,29,0
61,39,29,0
