ID,WIDTH,HEIGHT,NEW_STACK
0,14,26,1
1,42,26,1
2,22,6,1
3,3,16,1
4,60,14,1
5,13,14,1
6,2,2,1
7,15,13,1
8,42,22,1
9,31,14,1
10,13,10,1
11,1,6,1
12,29,7,1
13,4,15,1
14,9,26,1
15,14,28,1
16,3,6,1
17,2,4,1
18,23,19,1
19,7,14,1
20,26,23,1
21,5,24,1
22,33,11,1
23,25,8,1
24,18,17,1
25,35,14,1
26,11,14,1
27,25,11,1
28,52,34,1
29,26,4,1
30,9,5,1
31,8,7,1
32,10,35,1
33,23,98,1
34,11,7,1
35,8,12,1
36,13,21,1
37,72,16,1
38,20,31,1
39,6,9,1
40,21,26,1
41,9,9,1
42,26,94,1
43,22,37,1
44,7,48,1
45,2,8,1
46,13,29,1
47,12,7,1
48,3,5,1
49,50,11,1
50,24,52,1
51,23,9,1
52,7,17,1
53,37,12,1
54,3,10,1
55,48,9,1
56,28,7,1
57,15,36,1
58,97,21,1
59,46,7,1
60,5,2,1
61,7,5,1
62,27,11,1
63,5,34,1
64,20,26,1
65,7,24,1
66,15,11,1
67,30,10,1
68,12,22,1
69,5,12,1
70,14,28,1
71,14,10,1
72,76,13,1
73,2,3,1
74,7,18,1
75,28,15,1
76,11,36,1
77,18,18,1
78,6,13,1
79,13,45,1
80,10,2,1
81,12,29,1
82,13,48,1
83,28,15,1
84,42,32,1
85,7,19,1
86,20,29,1
87,37,20,1
88,15,26,1
89,16,79,1
90,19,34,1
91,1,1,1
92,21,12,1
93,21,20,1
94,62,9,1
95,6,14,1
96,18,41,1
