ID,WIDTH,HEIGHT,GROUP
0,14,74,0
1,4,9,1
2,26,21,2
3,20,15,3
4,39,74,4
5,25,105,5
6,8,15,6
7,44,8,7
8,54,23,8
9,77,25,9
10,58,11,10
11,51,52,11
12,27,18,12
13,64,13,13
14,57,24,14
15,7,2,15
16,46,34,16
17,13,25,17
18,9,9,18
19,14,10,19
20,17,57,20
21,46,24,21
22,7,19,22
23,28,13,23
24,27,18,24
25,11,11,25
26,6,31,26
27,4,3,27
28,8,8,28
29,57,21,29
30,6,28,30
31,58,20,31
32,13,29,32
33,36,21,33
34,29,6,34
35,18,5,35
36,13,5,36
37,10,45,37
38,6,6,38
39,105,22,39
40,14,59,40
41,19,19,41
42,25,18,42
43,32,81,43
44,13,10,44
45,25,102,45
46,41,82,46
47,13,25,47
48,2,7,48
