ID,WIDTH,HEIGHT,NEW_STACK
0,26,9,1
1,5,24,1
2,6,31,1
3,2,2,1
4,3,10,1
5,19,4,1
6,2,2,1
7,23,8,1
8,2,6,1
9,3,15,1
10,12,17,1
11,2,8,1
12,7,6,1
13,7,6,1
14,13,5,1
15,35,7,1
16,5,4,1
17,9,36,1
18,2,4,1
19,26,14,1
20,18,5,1
21,31,23,1
22,6,18,1
23,16,19,1
24,20,11,1
25,19,20,1
26,15,6,1
27,8,21,1
28,7,12,1
29,11,8,1
30,17,17,1
31,2,3,1
32,6,2,1
33,7,3,1
34,22,38,1
35,6,24,1
36,7,28,1
37,30,6,1
38,19,3,1
39,8,45,1
40,15,15,1
41,13,13,1
42,12,13,1
43,18,12,1
44,15,18,1
45,26,6,1
46,42,6,1
47,11,7,1
48,10,40,1
49,6,21,1
50,21,8,1
51,44,9,1
52,4,22,1
53,4,17,1
54,6,4,1
55,18,9,1
56,10,35,1
57,10,31,1
58,8,6,1
59,27,10,1
60,11,18,1
61,11,3,1
62,7,45,1
63,10,6,1
64,8,10,1
65,4,3,1
66,12,9,1
67,15,15,1
68,12,5,1
69,8,19,1
70,8,11,1
71,28,15,1
72,11,24,1
73,40,8,1
74,3,20,1
75,13,8,1
76,6,18,1
77,49,13,1
78,9,9,1
79,10,23,1
80,14,7,1
81,11,11,1
82,42,18,1
83,23,6,1
84,20,9,1
85,5,6,1
86,15,6,1
87,7,2,1
88,31,5,1
89,8,41,1
90,10,14,1
91,25,6,1
92,9,33,1
93,16,7,1
94,2,8,1
95,12,20,1
96,6,21,1
97,2,11,1
98,7,13,1
99,4,11,1
100,3,9,1
101,6,24,1
102,18,13,1
103,50,8,1
104,10,13,1
105,28,23,1
106,12,9,1
107,9,11,1
108,44,11,1
109,29,9,1
110,10,22,1
111,10,6,1
112,6,2,1
113,31,13,1
114,11,18,1
115,10,9,1
116,7,13,1
117,5,22,1
118,21,4,1
119,6,3,1
120,3,3,1
121,11,9,1
122,3,9,1
123,7,3,1
124,16,22,1
125,12,22,1
126,4,16,1
127,4,7,1
128,4,3,1
129,2,4,1
130,2,7,1
131,7,7,1
132,26,7,1
133,44,8,1
134,40,9,1
135,7,9,1
136,10,19,1
137,18,13,1
138,3,8,1
139,3,10,1
140,8,10,1
141,35,8,1
142,42,19,1
143,7,11,1
144,7,3,1
145,7,15,1
146,12,46,1
147,54,8,1
148,51,8,1
149,8,3,1
150,9,6,1
151,2,13,1
152,14,21,1
153,52,9,1
154,13,4,1
155,8,42,1
156,19,11,1
157,49,11,1
158,4,8,1
159,7,2,1
160,20,5,1
161,13,35,1
162,15,18,1
163,6,20,1
164,12,12,1
165,24,8,1
166,15,28,1
167,5,9,1
168,13,10,1
169,50,8,1
170,20,34,1
171,29,40,1
172,26,19,1
173,9,7,1
174,13,26,1
175,14,8,1
176,18,11,1
177,51,16,1
178,11,8,1
179,6,37,1
180,7,8,1
181,9,3,1
182,40,7,1
183,52,11,1
184,5,11,1
185,15,88,1
186,18,37,1
187,6,22,1
188,2,6,1
189,8,15,1
190,8,17,1
191,17,15,1
192,4,8,1
193,13,8,1
194,13,5,1
195,12,20,1
196,27,26,1
197,13,34,1
198,11,12,1
