ID,WIDTH,HEIGHT,NEW_STACK
0,110,32,1
1,16,53,0
2,28,43,0
3,67,16,0
4,20,91,0
5,62,17,0
6,62,18,1
7,10,13,0
8,30,115,0
9,22,58,0
10,5,9,0
11,20,37,0
12,23,19,0
13,10,38,1
14,24,10,0
15,12,33,1
16,6,11,0
17,16,9,1
18,22,37,0
19,18,13,0
20,18,5,0
21,78,15,1
22,12,13,0
23,78,35,0
24,15,92,0
25,21,6,0
26,15,22,1
27,64,19,0
28,4,27,0
29,27,14,0
30,21,61,0
31,44,7,0
32,37,76,1
33,3,6,0
34,7,22,0
35,13,41,0
36,6,6,0
37,72,12,0
38,38,48,0
39,22,47,0
40,3,15,0
41,41,27,0
42,20,15,0
43,3,8,0
44,14,97,1
45,8,54,0
46,19,6,0
47,5,30,0
48,39,24,0
