ID,WIDTH,HEIGHT,GROUP
0,14,30,0
1,15,64,0
2,4,7,0
3,15,22,0
4,18,16,1
5,62,12,1
6,46,13,1
7,11,29,1
8,61,13,1
9,8,3,1
10,19,9,2
11,25,6,2
12,23,31,2
13,7,6,2
14,12,36,2
15,4,4,2
16,40,13,2
17,6,19,2
18,6,19,2
19,50,62,3
20,22,47,4
21,21,27,4
22,8,12,4
23,6,10,4
24,26,14,5
25,39,25,5
26,19,31,5
27,5,6,5
28,16,13,5
29,7,3,6
30,8,14,6
31,16,5,6
32,22,9,6
33,30,7,6
34,18,3,6
35,83,16,6
36,26,4,7
37,7,28,7
38,12,63,7
39,9,50,7
40,14,4,7
41,8,16,7
42,16,26,7
43,21,17,7
44,3,20,7
45,30,51,8
46,8,13,8
47,9,19,8
48,2,7,8
49,66,25,9
50,18,14,9
51,18,78,9
52,36,91,9
53,22,12,9
54,57,37,9
55,43,34,10
56,11,8,10
57,24,17,11
58,5,15,11
59,19,21,11
60,18,14,11
61,59,30,12
62,14,17,12
63,27,26,12
64,30,8,12
65,12,46,12
66,37,6,12
67,10,16,13
68,8,33,13
69,26,13,13
70,30,56,13
71,7,33,13
72,28,65,13
