ID,WIDTH,HEIGHT,NEW_STACK
0,4,14,1
1,3,19,0
2,6,5,0
3,18,41,1
4,7,46,0
5,37,7,0
6,7,11,0
7,8,4,0
8,2,12,0
9,4,3,1
10,13,12,0
11,23,70,0
12,2,9,0
13,4,2,1
14,5,9,0
15,4,23,0
16,32,27,0
17,41,41,0
18,20,14,1
19,22,38,0
20,16,9,0
21,25,9,0
22,18,25,0
23,40,7,0
24,30,10,1
25,1,3,0
26,5,13,0
27,24,20,0
28,22,5,0
29,29,32,1
30,3,14,0
31,31,11,0
32,24,10,0
33,62,22,0
34,6,21,0
35,9,8,1
36,7,25,0
37,14,40,0
38,16,18,0
39,13,18,1
40,37,8,0
41,23,59,0
42,9,11,0
43,23,10,1
44,26,8,0
45,11,18,0
46,8,25,0
47,2,7,0
48,69,18,0
49,59,22,1
50,27,8,0
51,20,6,0
52,5,30,0
53,14,5,0
54,8,6,1
55,7,5,0
56,7,10,0
57,12,59,0
58,13,3,0
59,29,8,0
60,7,5,0
61,9,7,0
62,35,11,0
63,24,25,1
64,19,57,0
65,7,12,0
66,28,7,1
67,9,31,0
68,15,4,0
69,26,17,0
70,7,14,0
71,20,13,1
72,23,70,0
73,7,26,0
74,18,50,0
75,6,21,1
76,20,18,0
77,6,12,0
78,4,1,0
79,14,86,0
80,4,14,0
81,28,73,0
82,47,19,0
83,10,45,1
84,19,24,0
85,20,40,0
86,8,21,1
87,65,29,0
88,4,13,0
89,25,57,0
90,6,6,0
91,15,6,0
92,6,14,0
93,49,8,0
94,117,20,0
95,36,7,1
96,5,16,0
