ID,WIDTH,HEIGHT,NEW_STACK
0,23,5,1
1,6,13,0
2,19,7,0
3,60,17,0
4,27,8,0
5,12,2,0
6,19,3,0
7,39,18,0
8,10,50,1
9,4,8,0
10,17,35,1
11,7,16,0
12,19,17,0
13,41,9,0
14,12,10,0
15,9,15,0
16,12,3,0
17,3,1,0
18,5,7,1
19,12,4,0
20,18,6,0
21,6,10,0
22,8,20,1
23,21,7,0
24,11,8,0
25,9,47,0
26,7,26,0
27,16,13,1
28,9,62,0
29,2,4,0
30,5,4,0
31,11,26,0
32,27,14,0
33,24,8,0
34,24,12,0
35,5,6,1
36,5,12,0
37,18,8,0
38,8,7,0
39,21,16,0
40,13,31,1
41,21,12,0
42,7,12,0
43,12,4,0
44,11,11,0
45,31,23,0
46,25,10,1
47,23,7,0
48,23,5,0
49,6,19,0
50,19,97,0
51,9,3,0
52,6,8,1
53,8,41,0
54,1,3,0
55,18,4,0
56,13,7,0
57,3,7,0
58,13,4,1
59,17,11,0
60,22,8,0
61,9,16,0
62,3,6,0
63,6,7,0
64,5,9,1
65,12,7,0
66,5,4,0
67,13,37,0
68,12,7,0
69,21,3,0
70,5,5,1
71,9,15,0
72,18,11,1
73,21,35,0
74,30,8,0
75,5,30,0
76,5,11,0
77,17,7,0
78,9,12,0
79,30,12,1
80,10,12,0
81,9,39,0
82,6,35,1
83,17,8,0
84,5,2,0
85,9,4,0
86,1,3,0
87,33,6,0
88,27,26,0
89,5,31,1
90,16,16,1
91,13,17,0
92,4,22,0
93,17,4,0
94,7,20,0
95,16,9,1
96,16,14,0
97,32,18,1
98,21,21,0
99,7,1,1
100,10,7,0
101,9,13,0
102,16,67,0
103,5,16,0
104,13,19,1
105,13,5,0
106,3,10,0
107,18,7,0
108,28,5,0
109,6,1,0
110,16,19,1
111,9,6,0
112,2,5,0
113,40,8,0
114,7,11,0
115,3,9,1
116,6,22,0
117,28,34,0
118,4,14,0
119,11,11,1
120,19,5,0
121,32,6,0
122,7,18,0
123,3,2,0
124,9,14,0
125,7,4,0
126,6,14,0
127,8,10,0
128,17,7,1
129,19,17,0
130,18,4,0
131,29,15,0
132,24,4,0
133,4,10,0
134,5,1,1
135,12,5,0
136,16,5,0
137,5,4,1
138,5,4,0
139,6,18,0
140,7,48,0
141,4,8,0
142,23,7,0
143,5,14,0
144,5,13,0
145,16,7,1
146,43,9,0
147,5,6,0
148,12,16,0
149,5,5,1
150,9,13,1
151,23,7,0
152,29,7,0
153,4,4,0
154,18,18,0
155,7,19,1
156,9,19,0
157,27,8,0
158,17,11,1
159,9,9,0
160,5,7,0
161,8,13,0
162,43,45,1
163,11,7,0
164,2,11,0
165,3,3,0
166,4,8,0
167,39,6,0
168,28,16,0
169,8,12,1
170,12,22,0
171,13,21,0
172,24,30,0
173,15,6,0
174,11,15,0
175,12,41,0
176,23,7,0
177,5,10,0
178,5,5,0
179,23,11,1
180,7,9,0
181,46,8,0
182,9,9,0
183,3,19,0
184,3,3,0
185,3,8,0
186,17,7,0
187,19,28,1
188,5,4,0
189,5,5,0
190,32,39,1
191,16,4,0
192,12,2,0
193,13,44,0
194,76,12,1
195,9,47,0
196,22,4,0
197,2,9,0
198,7,6,0
