ID,WIDTH,HEIGHT,GROUP
0,12,33,0
1,14,97,1
2,28,43,1
3,5,30,1
4,21,6,1
5,12,13,2
6,18,13,2
7,41,27,2
8,4,27,3
9,62,17,3
10,78,15,4
11,67,16,4
12,72,12,4
13,15,92,4
14,37,76,5
15,13,41,5
16,6,6,5
17,7,22,6
18,27,14,6
19,19,6,6
20,44,7,6
21,16,53,7
22,20,91,7
23,5,9,7
24,15,22,8
25,10,13,8
26,3,6,8
27,8,54,8
28,110,32,9
29,64,19,9
30,22,37,9
31,24,10,10
32,3,15,11
33,20,37,11
34,22,58,12
35,18,5,13
36,62,18,14
37,78,35,14
38,30,115,14
39,38,48,14
40,21,61,15
41,10,38,15
42,22,47,15
43,3,8,16
44,6,11,17
45,20,15,17
46,16,9,18
47,23,19,18
48,39,24,18
